Species,Tool,Complete (%),Single (S),Duplicated (D),Fragmented (F),Missing (M),Total BUSCOs
A_thaliana,annevo,0.0,0,0,0,0,425
A_thaliana,helixer,0.0,0,0,0,0,425
A_thaliana,tiberius,0.0,0,0,0,0,425
B_distachyon,annevo,0.0,0,0,0,0,425
B_distachyon,helixer,0.0,0,0,0,0,425
B_distachyon,tiberius,0.0,0,0,0,0,425
B_rapa,annevo,0.0,0,0,0,0,425
B_rapa,helixer,0.0,0,0,0,0,425
Gmax,annevo,0.0,0,0,0,0,425
Gmax,helixer,0.0,0,0,0,0,425
Gmax,tiberius,0.0,0,0,0,0,425
Lsativa,annevo,0.0,0,0,0,0,425
Lsativa,helixer,0.0,0,0,0,0,425
Lsativa,tiberius,0.0,0,0,0,0,425
O_sativa,annevo,0.0,0,0,0,0,425
O_sativa,helixer,0.0,0,0,0,0,425
O_sativa,tiberius,0.0,0,0,0,0,425
P_patens,annevo,0.0,0,0,0,0,425
P_patens,helixer,0.0,0,0,0,0,425
P_trichocarpa,annevo,0.0,0,0,0,0,425
P_trichocarpa,helixer,0.0,0,0,0,0,425
P_trichocarpa,tiberius,0.0,0,0,0,0,425
S_bicolor,annevo,0.0,0,0,0,0,425
S_bicolor,helixer,0.0,0,0,0,0,425
S_bicolor,tiberius,0.0,0,0,0,0,425
S_italica,annevo,0.0,0,0,0,0,425
S_italica,helixer,0.0,0,0,0,0,425
S_italica,tiberius,0.0,0,0,0,0,425
Slycopersicum,annevo,0.0,0,0,0,0,425
Slycopersicum,helixer,0.0,0,0,0,0,425
Slycopersicum,tiberius,0.0,0,0,0,0,425
V_vinifera,annevo,0.0,0,0,0,0,425
V_vinifera,helixer,0.0,0,0,0,0,425
V_vinifera,tiberius,0.0,0,0,0,0,425
Z_mays,annevo,0.0,0,0,0,0,425
Z_mays,helixer,0.0,0,0,0,0,425
Z_mays,tiberius,0.0,0,0,0,0,425
