Species,Tool,Complete (%),Single (S),Duplicated (D),Fragmented (F),Missing (M),Total BUSCOs
A_thaliana,annevo,99.1,418,3,3,1,425
A_thaliana,helixer,99.5,420,3,1,1,425
A_thaliana,tiberius,98.4,416,2,1,6,425
A_thaliana_tiberius,softmasked,98.8,418,2,1,4,425
B_distachyon,annevo,97.9,413,3,6,3,425
B_distachyon,helixer,99.1,416,5,4,0,425
B_distachyon,tiberius,89.4,374,6,27,18,425
B_distachyon_tiberius,softmasked,88.7,370,7,32,16,425
B_rapa,annevo,66.1,252,29,14,130,425
B_rapa,helixer,98.6,359,60,3,3,425
B_rapa,tiberius,98.4,359,59,4,3,425
B_rapa_tiberius,softmasked,99.3,365,57,1,2,425
G_max,annevo,99.8,194,230,1,0,425
G_max,helixer,99.3,187,235,3,0,425
G_max,tiberius,99.5,180,243,1,1,425
G_max_tiberius,softmasked,99.8,179,245,1,0,425
L_sativa,annevo,98.6,415,4,4,2,425
L_sativa,helixer,99.1,416,5,3,1,425
L_sativa,tiberius,96.7,406,5,7,7,425
L_sativa_tiberius,softmasked,96.2,404,5,8,8,425
O_sativa,annevo,97.6,404,11,10,0,425
O_sativa,helixer,98.8,410,10,4,1,425
O_sativa,tiberius,92.5,384,9,27,5,425
O_sativa_tiberius,softmasked,93.2,388,8,25,4,425
P_patens,annevo,96.5,361,49,6,9,425
P_patens,helixer,94.6,353,49,11,12,425
P_trichocarpa,annevo,98.8,348,72,4,1,425
P_trichocarpa,helixer,99.5,354,69,2,0,425
P_trichocarpa,tiberius,99.3,353,69,2,1,425
P_trichocarpa_tiberius,softmasked,98.8,351,69,3,2,425
S_bicolor,annevo,97.9,410,6,8,1,425
S_bicolor,helixer,97.4,409,5,10,1,425
S_bicolor,tiberius,93.6,393,5,20,7,425
S_bicolor_tiberius,softmasked,94.6,397,5,14,9,425
S_italica,annevo,97.2,406,7,10,2,425
S_italica,helixer,98.1,410,7,8,0,425
S_italica,tiberius,93.4,390,7,22,6,425
S_italica_tiberius,softmasked,91.8,381,9,28,7,425
S_lycopersicum,annevo,97.6,411,4,7,3,425
S_lycopersicum,helixer,96.7,405,6,11,3,425
S_lycopersicum,tiberius,94.6,398,4,7,16,425
S_lycopersicum_tiberius,softmasked,96.2,404,5,6,10,425
V_vinifera,annevo,99.3,414,8,2,1,425
V_vinifera,helixer,94.4,395,6,24,0,425
V_vinifera,tiberius,97.6,407,8,6,4,425
Z_mays,annevo,97.6,383,32,10,0,425
Z_mays,helixer,97.6,378,37,10,0,425
Z_mays,tiberius,76.7,300,26,82,17,425
Z_mays_tiberius,softmasked,0.2,1,0,0,424,425
