Species,Tool,Base_Sensitivity,Base_Precision,Exon_Sensitivity,Exon_Precision,Transcript_Sensitivity,Transcript_Precision
A_thaliana,annevo,76.6,97.7,62.4,71.6,38.8,54.4
A_thaliana,helixer,93.5,89.1,77.7,80.5,50.1,65.4
A_thaliana,tiberius,74.8,97.3,63.5,75.7,43.6,63.2
A_thaliana,tiberius_softmasked,74.0,98.4,63.3,76.5,43.8,64.5
B_distachyon,annevo,51.7,97.2,45.5,64.1,20.8,45.0
B_distachyon,helixer,76.2,86.0,60.7,66.3,26.1,44.7
B_distachyon,tiberius,51.5,96.1,45.6,66.9,24.0,47.6
B_distachyon,tiberius_softmasked,51.2,97.3,45.4,67.4,23.9,48.5
B_rapa,annevo,43.4,91.0,34.4,65.4,22.3,52.6
B_rapa,helixer,91.1,78.6,76.1,67.8,45.5,51.9
B_rapa,tiberius,70.8,92.6,58.2,70.4,42.2,62.4
B_rapa,tiberius_softmasked,71.5,95.3,58.5,72.1,43.3,65.5
G_max,annevo,55.2,92.7,49.6,62.4,25.2,43.9
G_max,helixer,79.1,88.5,67.8,68.2,30.5,46.8
G_max,tiberius,55.8,91.7,51.6,66.2,32.8,51.0
G_max,tiberius_softmasked,55.7,97.6,51.7,69.9,33.5,59.2
L_sativa,annevo,65.3,91.7,44.7,69.8,25.7,53.1
L_sativa,helixer,83.5,68.5,52.1,48.4,23.2,27.3
L_sativa,tiberius,67.9,75.7,47.3,62.1,31.1,38.2
L_sativa,tiberius_softmasked,64.8,93.8,45.0,73.8,30.0,58.2
O_sativa,annevo,55.1,93.0,46.1,63.1,24.2,45.4
O_sativa,helixer,80.1,79.8,57.9,58.4,27.7,39.4
O_sativa,tiberius,57.4,90.6,47.6,65.8,28.6,46.5
O_sativa,tiberius_softmasked,56.7,93.5,47.3,66.4,28.5,48.8
P_patens,annevo,44.1,98.1,36.9,61.5,9.2,34.6
P_patens,helixer,69.6,90.0,44.7,63.2,8.0,29.9
P_trichocarpa,annevo,61.6,96.8,52.8,65.2,29.2,49.0
P_trichocarpa,helixer,86.9,83.9,66.0,68.3,32.8,50.0
P_trichocarpa,tiberius,62.1,94.7,55.0,69.4,36.5,58.0
P_trichocarpa,tiberius_softmasked,61.9,97.9,55.0,70.8,36.8,61.5
S_bicolor,annevo,55.1,95.7,49.4,62.8,29.2,47.6
S_bicolor,helixer,80.1,87.1,67.5,66.9,36.3,48.8
S_bicolor,tiberius,56.7,77.8,51.1,60.0,36.1,41.0
S_bicolor,tiberius_softmasked,56.9,98.1,51.3,67.3,36.7,55.7
S_italica,annevo,57.9,96.0,52.1,64.8,29.7,46.9
S_italica,helixer,82.3,81.7,64.3,61.8,34.2,42.2
S_italica,tiberius,59.0,94.5,53.0,67.6,34.8,48.8
S_italica,tiberius_softmasked,58.8,96.7,53.0,68.4,34.8,50.8
S_lycopersicum,annevo,63.1,93.3,47.4,68.0,22.7,39.9
S_lycopersicum,helixer,77.4,70.3,48.8,52.5,18.3,21.1
S_lycopersicum,tiberius,62.4,89.1,47.8,68.8,24.9,37.6
S_lycopersicum,tiberius_softmasked,62.0,95.6,47.8,73.6,25.9,46.7
V_vinifera,annevo,39.6,95.0,47.7,67.7,19.7,44.5
V_vinifera,helixer,55.5,82.0,50.4,55.2,17.6,32.6
V_vinifera,tiberius,41.0,84.3,50.1,67.3,25.3,43.8
Z_mays,annevo,47.3,92.7,28.7,65.3,12.2,51.0
Z_mays,helixer,66.7,79.0,39.9,57.7,10.1,32.4
Z_mays,tiberius,46.3,45.5,27.4,52.1,12.8,24.3
Z_mays,tiberius_softmasked,0.0,1.5,0.0,1.1,0.0,1.2
