# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	Z_mays_g049218.t1	3787.4	3036	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	Z_mays_g014656.t1	5282.0	3754	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	Z_mays_g052069.t1	5481.3	3536	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Duplicated	Z_mays_g008533.t1	3016.4	1875	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
255at33090	Duplicated	Z_mays_g036885.t1	3032.8	1871	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	Z_mays_g059688.t1	1399.7	1365	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	Z_mays_g044342.t1	1580.5	1084	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	Z_mays_g019156.t1	1776.0	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	Z_mays_g042880.t1	1362.8	1009	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	Z_mays_g011841.t1	2229.0	1677	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	Z_mays_g039932.t1	158.0	765	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	Z_mays_g049863.t1	156.3	719	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Fragmented	Z_mays_g053175.t1	590.2	457	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	Z_mays_g026637.t1	1401.3	863	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	Z_mays_g026650.t1	1000.2	665	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Fragmented	Z_mays_g038881.t1	292.6	241	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
