# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Fragmented	Z_mays_g008588.t1	1248.0	1317	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Fragmented	Z_mays_g030056.t1	2639.7	1736	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Fragmented	Z_mays_g021239.t1	402.0	383	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	Z_mays_g034429.t1	936.3	952	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Fragmented	Z_mays_g025717.t1	681.6	303	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	Z_mays_g010940.t1	923.4	795	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Missing
1855at33090	Complete	Z_mays_g006755.t1	2229.0	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	Z_mays_g029547.t2	1025.7	779	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	Z_mays_g029547.t1	990.5	745	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Missing
4115at33090	Duplicated	Z_mays_g015224.t1	1207.2	690	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
4115at33090	Duplicated	Z_mays_g015224.t2	1185.9	690	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Fragmented	Z_mays_g015234.t1	215.3	223	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Fragmented	Z_mays_g022712.t1	222.2	232	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	Z_mays_g028987.t1	524.5	515	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	Z_mays_g015105.t1	110.6	85	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Fragmented	Z_mays_g014861.t1	828.0	483	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Missing
9044at33090	Complete	Z_mays_g000091.t1	1073.0	706	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	Z_mays_g000685.t1	888.3	611	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Fragmented	Z_mays_g029408.t1	213.0	265	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Missing
11664at33090	Fragmented	Z_mays_g021599.t1	785.7	448	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	Z_mays_g001902.t1	1957.1	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Fragmented	Z_mays_g037099.t1	964.1	560	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	Z_mays_g032470.t1	1011.8	542	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Fragmented	Z_mays_g037387.t1	648.6	453	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Fragmented	Z_mays_g001507.t1	123.1	189	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	Z_mays_g009099.t1	447.2	429	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	Z_mays_g029238.t1	832.5	581	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	Z_mays_g036490.t1	876.5	655	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Missing
21751at33090	Fragmented	Z_mays_g036452.t1	607.7	309	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Missing
22109at33090	Fragmented	Z_mays_g014258.t1	380.3	215	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Missing
22958at33090	Duplicated	Z_mays_g004149.t1	761.7	488	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
22958at33090	Duplicated	Z_mays_g004149.t2	761.7	488	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Fragmented	Z_mays_g002474.t1	250.0	218	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Fragmented	Z_mays_g028181.t2	253.4	165	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Fragmented	Z_mays_g036702.t1	368.6	208	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Missing
26868at33090	Complete	Z_mays_g001221.t1	766.0	521	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	Z_mays_g015873.t1	927.4	646	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	Z_mays_g023082.t1	779.0	543	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Duplicated	Z_mays_g014883.t1	348.6	467	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
28920at33090	Duplicated	Z_mays_g017187.t1	341.1	455	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
28920at33090	Duplicated	Z_mays_g028478.t1	350.0	448	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Fragmented	Z_mays_g019810.t1	239.7	252	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Fragmented	Z_mays_g032481.t1	782.5	409	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Fragmented	Z_mays_g000072.t1	149.4	103	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	Z_mays_g034579.t1	1319.0	563	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Missing
34517at33090	Fragmented	Z_mays_g028148.t1	464.5	400	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Missing
35887at33090	Missing
36284at33090	Fragmented	Z_mays_g006165.t1	322.9	222	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Fragmented	Z_mays_g008355.t1	513.6	370	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Missing
39913at33090	Complete	Z_mays_g024697.t1	1009.7	522	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Missing
41146at33090	Fragmented	Z_mays_g003893.t1	313.6	181	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Fragmented	Z_mays_g037468.t1	190.7	146	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Fragmented	Z_mays_g022413.t1	157.9	126	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Missing
43957at33090	Complete	Z_mays_g028770.t1	1083.2	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Fragmented	Z_mays_g031839.t1	448.0	266	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	Z_mays_g026617.t1	687.0	467	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Fragmented	Z_mays_g018671.t1	660.7	340	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	Z_mays_g021246.t1	673.6	374	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Missing
48645at33090	Fragmented	Z_mays_g030286.t1	354.3	292	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	Z_mays_g028801.t1	784.9	414	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Fragmented	Z_mays_g015572.t1	309.1	252	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Fragmented	Z_mays_g033046.t1	278.5	235	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	Z_mays_g033730.t1	600.2	412	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Fragmented	Z_mays_g028590.t1	285.9	243	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Fragmented	Z_mays_g033115.t1	134.0	107	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Missing
52795at33090	Fragmented	Z_mays_g005694.t1	347.1	189	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	Z_mays_g025094.t1	473.0	325	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	Z_mays_g032093.t1	953.7	528	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	Z_mays_g029360.t1	670.3	361	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Missing
58672at33090	Complete	Z_mays_g010305.t1	457.8	261	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	Z_mays_g031592.t1	529.3	323	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Fragmented	Z_mays_g009272.t1	320.3	208	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	Z_mays_g010582.t1	483.4	308	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	Z_mays_g033544.t1	657.8	346	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	Z_mays_g004449.t1	795.5	588	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Duplicated	Z_mays_g038178.t1	336.4	277	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
65263at33090	Duplicated	Z_mays_g038178.t2	336.4	277	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Fragmented	Z_mays_g030095.t1	565.0	341	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	Z_mays_g001903.t1	297.9	323	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	Z_mays_g008156.t1	554.8	436	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Fragmented	Z_mays_g000530.t1	274.1	169	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Fragmented	Z_mays_g013362.t1	425.7	268	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Fragmented	Z_mays_g034507.t1	193.2	145	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Fragmented	Z_mays_g036656.t1	470.0	335	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Fragmented	Z_mays_g036890.t1	216.0	149	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Missing
70613at33090	Fragmented	Z_mays_g036455.t1	248.1	131	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	Z_mays_g007332.t1	514.7	334	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Complete	Z_mays_g005880.t1	618.1	411	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Fragmented	Z_mays_g007527.t1	472.2	282	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
74580at33090	Duplicated	Z_mays_g038626.t1	511.6	394	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74580at33090	Duplicated	Z_mays_g021346.t1	503.9	394	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74580at33090	Duplicated	Z_mays_g021347.t1	518.9	386	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74742at33090	Complete	Z_mays_g030242.t1	325.2	279	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Fragmented	Z_mays_g024123.t1	131.5	96	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Fragmented	Z_mays_g008869.t1	271.2	219	https://v10-1.orthodb.org/?query=76026at33090	SET domain
76849at33090	Complete	Z_mays_g013624.t1	665.0	453	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Fragmented	Z_mays_g005831.t1	224.0	179	https://v10-1.orthodb.org/?query=79950at33090	Rhodanese-like domain
83749at33090	Duplicated	Z_mays_g037605.t1	301.5	336	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
83749at33090	Duplicated	Z_mays_g031784.t1	316.4	328	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
83749at33090	Duplicated	Z_mays_g012385.t1	315.8	328	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
83749at33090	Duplicated	Z_mays_g035987.t1	289.4	308	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
