# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	O_sativa_g006149.t1	4369.4	3518	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	O_sativa_g023170.t1	5236.5	3702	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	O_sativa_g034779.t1	5581.0	3527	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	O_sativa_g019039.t1	3422.6	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	O_sativa_g002053.t1	1630.1	1515	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	O_sativa_g014808.t1	1631.2	1102	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	O_sativa_g004850.t1	1750.2	1484	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	O_sativa_g014284.t1	1365.6	997	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	O_sativa_g032564.t1	2277.4	1675	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	O_sativa_g029906.t1	1494.0	1084	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	O_sativa_g035585.t1	1404.5	1018	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	O_sativa_g004652.t1	1414.0	873	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	O_sativa_g004649.t1	1207.6	803	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	O_sativa_g006972.t1	1077.3	884	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	O_sativa_g024046.t1	833.2	637	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	O_sativa_g017429.t1	1328.1	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	O_sativa_g011591.t1	1349.3	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	O_sativa_g006273.t1	1137.8	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	O_sativa_g016083.t1	1309.7	855	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	O_sativa_g016728.t1	1056.7	733	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	O_sativa_g029740.t1	766.9	756	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	O_sativa_g020362.t1	1148.0	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	O_sativa_g019698.t1	1054.5	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	O_sativa_g004756.t1	1955.8	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	O_sativa_g028557.t1	1206.4	728	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	O_sativa_g000171.t1	1230.5	702	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	O_sativa_g028718.t1	1081.6	703	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	O_sativa_g017630.t1	1024.9	683	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	O_sativa_g022741.t1	996.0	691	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	O_sativa_g029359.t1	803.8	615	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	O_sativa_g027257.t1	1082.0	806	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	O_sativa_g033246.t1	1079.4	668	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	O_sativa_g026223.t1	1398.4	828	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	O_sativa_g015574.t1	658.2	545	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	O_sativa_g010814.t1	699.6	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	O_sativa_g024580.t1	869.3	624	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	O_sativa_g006189.t1	1060.3	671	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	O_sativa_g005755.t1	529.1	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	O_sativa_g024829.t1	828.2	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	O_sativa_g027810.t1	900.7	700	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	O_sativa_g017121.t1	1007.6	709	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	O_sativa_g017304.t1	774.2	506	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	O_sativa_g003869.t1	916.6	644	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	O_sativa_g012103.t1	797.0	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	O_sativa_g025222.t1	811.6	538	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	O_sativa_g015694.t1	813.5	590	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	O_sativa_g000184.t1	954.1	515	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	O_sativa_g016045.t1	698.2	430	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	O_sativa_g002424.t1	1665.7	696	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	O_sativa_g030931.t1	705.1	464	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	O_sativa_g024772.t1	925.3	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	O_sativa_g024940.t1	918.2	559	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	O_sativa_g033696.t1	768.5	512	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Fragmented	O_sativa_g010296.t1	816.9	460	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	O_sativa_g023062.t1	841.6	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	O_sativa_g022050.t1	890.2	582	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	O_sativa_g014436.t1	1060.2	545	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	O_sativa_g011110.t1	997.5	573	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	O_sativa_g006550.t1	800.7	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	O_sativa_g017069.t1	746.6	436	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	O_sativa_g006324.t1	867.7	643	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	O_sativa_g001997.t1	789.6	502	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	O_sativa_g025610.t1	1036.7	656	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	O_sativa_g031588.t1	716.4	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	O_sativa_g008488.t1	710.9	505	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	O_sativa_g033679.t1	828.5	440	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	O_sativa_g012263.t1	826.0	425	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	O_sativa_g010794.t1	708.3	440	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	O_sativa_g035329.t1	557.7	422	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	O_sativa_g025730.t1	894.3	461	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	O_sativa_g004237.t1	415.8	333	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	O_sativa_g000039.t1	456.1	374	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	O_sativa_g023403.t1	636.2	412	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	O_sativa_g025453.t1	424.4	389	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	O_sativa_g002024.t1	461.8	386	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Complete	O_sativa_g016585.t1	927.0	454	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	O_sativa_g014586.t1	733.5	414	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	O_sativa_g014939.t1	496.1	358	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	O_sativa_g031847.t1	1250.4	719	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	O_sativa_g029658.t1	809.5	421	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Complete	O_sativa_g033669.t1	731.0	447	https://v10-1.orthodb.org/?query=57004at33090	FAD/NAD(P)-binding domain superfamily
58672at33090	Complete	O_sativa_g021204.t1	458.5	262	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	O_sativa_g006880.t1	612.1	363	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Complete	O_sativa_g022366.t1	400.6	294	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	O_sativa_g003046.t1	666.5	371	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	O_sativa_g024811.t1	661.1	346	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	O_sativa_g018346.t1	863.3	610	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Complete	O_sativa_g016974.t1	452.4	340	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Complete	O_sativa_g034930.t1	687.5	435	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	O_sativa_g030329.t1	483.1	361	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	O_sativa_g022666.t1	720.1	576	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Complete	O_sativa_g028138.t1	502.3	330	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Complete	O_sativa_g000796.t1	658.5	431	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Complete	O_sativa_g002252.t1	460.0	284	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Complete	O_sativa_g027579.t1	626.6	432	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Complete	O_sativa_g028099.t1	551.6	370	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Duplicated	O_sativa_g013489.t1	565.5	335	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
69614at33090	Duplicated	O_sativa_g003967.t1	555.5	335	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
70613at33090	Complete	O_sativa_g026220.t1	700.0	375	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	O_sativa_g030350.t1	523.7	334	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Duplicated	O_sativa_g007361.t1	613.1	416	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
72992at33090	Duplicated	O_sativa_g010077.t1	535.7	388	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Complete	O_sativa_g021558.t1	685.0	377	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
74580at33090	Complete	O_sativa_g027870.t1	541.4	394	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74742at33090	Complete	O_sativa_g035256.t1	337.8	279	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Complete	O_sativa_g012991.t1	416.5	324	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Complete	O_sativa_g022838.t1	348.9	277	https://v10-1.orthodb.org/?query=76026at33090	SET domain
76849at33090	Complete	O_sativa_g000501.t1	692.5	465	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Missing
83749at33090	Complete	O_sativa_g012860.t1	592.9	343	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
84114at33090	Complete	O_sativa_g025552.t1	623.1	346	https://v10-1.orthodb.org/?query=84114at33090	Protein of unknown function DUF4336
84264at33090	Complete	O_sativa_g027468.t1	614.8	649	https://v10-1.orthodb.org/?query=84264at33090	WW domain
87347at33090	Complete	O_sativa_g016343.t1	1163.5	735	https://v10-1.orthodb.org/?query=87347at33090	WD40 repeat
87734at33090	Complete	O_sativa_g004793.t1	292.4	244	https://v10-1.orthodb.org/?query=87734at33090	Helicase, C-terminal
88295at33090	Complete	O_sativa_g035105.t1	350.6	245	https://v10-1.orthodb.org/?query=88295at33090	Rab3-GAP regulatory subunit
88687at33090	Complete	O_sativa_g017621.t1	456.9	323	https://v10-1.orthodb.org/?query=88687at33090	Rad9/Ddc1
88771at33090	Complete	O_sativa_g033285.t1	532.3	391	https://v10-1.orthodb.org/?query=88771at33090	Tetratricopeptide-like helical domain superfamily
89796at33090	Complete	O_sativa_g016871.t1	893.4	543	https://v10-1.orthodb.org/?query=89796at33090	Conserved oligomeric Golgi complex subunit 6
90240at33090	Complete	O_sativa_g012682.t1	442.1	332	https://v10-1.orthodb.org/?query=90240at33090	Methyltransferase domain
90301at33090	Complete	O_sativa_g010803.t1	671.7	371	https://v10-1.orthodb.org/?query=90301at33090	Pyridoxal phosphate-dependent transferase
90872at33090	Complete	O_sativa_g020821.t1	525.2	298	https://v10-1.orthodb.org/?query=90872at33090	Cation efflux protein
92418at33090	Complete	O_sativa_g034524.t1	581.2	293	https://v10-1.orthodb.org/?query=92418at33090	NmrA-like domain
92579at33090	Complete	O_sativa_g018607.t1	363.5	321	https://v10-1.orthodb.org/?query=92579at33090	Ubiquitin-associated domain
95807at33090	Complete	O_sativa_g008078.t1	448.6	371	https://v10-1.orthodb.org/?query=95807at33090	ApaG domain
96953at33090	Complete	O_sativa_g010824.t1	368.2	267	https://v10-1.orthodb.org/?query=96953at33090	WD40-repeat-containing domain
97593at33090	Complete	O_sativa_g002816.t1	389.9	272	https://v10-1.orthodb.org/?query=97593at33090	Origin recognition complex subunit 4
101241at33090	Complete	O_sativa_g001204.t1	522.1	338	https://v10-1.orthodb.org/?query=101241at33090	Actin family
101701at33090	Complete	O_sativa_g025254.t1	784.0	506	https://v10-1.orthodb.org/?query=101701at33090	Nucleotide-diphospho-sugar transferases
102307at33090	Complete	O_sativa_g028609.t1	574.8	294	https://v10-1.orthodb.org/?query=102307at33090	WD40 repeat
103267at33090	Complete	O_sativa_g021266.t1	409.6	306	https://v10-1.orthodb.org/?query=103267at33090	RecQ-mediated genome instability protein 1
103382at33090	Complete	O_sativa_g016953.t1	309.5	216	https://v10-1.orthodb.org/?query=103382at33090	Oxoglutarate/iron-dependent dioxygenase
104218at33090	Complete	O_sativa_g016806.t1	549.8	295	https://v10-1.orthodb.org/?query=104218at33090	Tryptophan synthase beta subunit-like PLP-dependent enzyme
104557at33090	Complete	O_sativa_g020929.t1	594.9	331	https://v10-1.orthodb.org/?query=104557at33090	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal
104821at33090	Complete	O_sativa_g003177.t1	498.6	287	https://v10-1.orthodb.org/?query=104821at33090	RNA 2-O ribose methyltransferase, substrate binding
104867at33090	Complete	O_sativa_g028923.t1	931.4	587	https://v10-1.orthodb.org/?query=104867at33090	Chorismate-utilising enzyme, C-terminal
105044at33090	Complete	O_sativa_g033636.t1	890.6	569	https://v10-1.orthodb.org/?query=105044at33090	Helicase, C-terminal
105782at33090	Complete	O_sativa_g031394.t1	426.8	277	https://v10-1.orthodb.org/?query=105782at33090	CobW/HypB/UreG, nucleotide-binding domain
105867at33090	Complete	O_sativa_g032151.t1	493.8	302	https://v10-1.orthodb.org/?query=105867at33090	Alcohol dehydrogenase, C-terminal
106769at33090	Complete	O_sativa_g003598.t1	615.5	327	https://v10-1.orthodb.org/?query=106769at33090	Ribosomal protein S5 domain 2-type fold
106886at33090	Complete	O_sativa_g018672.t1	319.9	267	https://v10-1.orthodb.org/?query=106886at33090	Cell division control protein 73, C-terminal
107107at33090	Complete	O_sativa_g034122.t1	491.5	342	https://v10-1.orthodb.org/?query=107107at33090	PUB domain
107413at33090	Complete	O_sativa_g018715.t1	588.8	352	https://v10-1.orthodb.org/?query=107413at33090	GPI mannosyltransferase 1
108705at33090	Complete	O_sativa_g017833.t1	443.2	338	https://v10-1.orthodb.org/?query=108705at33090	Phosphatidylinositol anchor biosynthesis protein PIGW/GWT1
109586at33090	Complete	O_sativa_g016757.t1	752.8	446	https://v10-1.orthodb.org/?query=109586at33090	Aminoacyl-tRNA synthetase, class Ia
109823at33090	Complete	O_sativa_g012223.t1	455.3	262	https://v10-1.orthodb.org/?query=109823at33090	Domain of unknown function DUF1995
110222at33090	Complete	O_sativa_g001907.t1	487.5	363	https://v10-1.orthodb.org/?query=110222at33090	DnaJ domain
110225at33090	Complete	O_sativa_g013731.t1	719.9	468	https://v10-1.orthodb.org/?query=110225at33090	Bacterial bifunctional deaminase-reductase, C-terminal
111210at33090	Complete	O_sativa_g023807.t1	463.5	272	https://v10-1.orthodb.org/?query=111210at33090	HAD superfamily
111213at33090	Complete	O_sativa_g015960.t1	404.5	247	https://v10-1.orthodb.org/?query=111213at33090	NAD-dependent epimerase/dehydratase
