# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	P_trichocarpa_g027903.t1	4433.3	3486	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	P_trichocarpa_g010236.t1	5438.5	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	P_trichocarpa_g028375.t1	5709.5	3528	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	P_trichocarpa_g030200.t1	3431.5	2173	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	P_trichocarpa_g005181.t1	1847.9	1532	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	P_trichocarpa_g005997.t1	1595.5	1072	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	P_trichocarpa_g030908.t1	1958.4	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	P_trichocarpa_g019244.t1	1414.0	1009	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	P_trichocarpa_g008691.t1	2242.0	1649	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	P_trichocarpa_g013112.t1	1629.4	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	P_trichocarpa_g025800.t1	1482.5	1019	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Duplicated	P_trichocarpa_g007458.t1	1427.9	869	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
4115at33090	Duplicated	P_trichocarpa_g000235.t1	1435.4	868	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	P_trichocarpa_g007469.t1	1217.4	814	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
