# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	B_rapa_g005617.t1	4206.0	3492	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	B_rapa_g009416.t1	5388.7	3740	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	B_rapa_g016592.t1	5555.4	3550	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	B_rapa_g006379.t1	3361.9	2153	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	B_rapa_g020118.t1	1699.0	1470	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Missing
1419at33090	Complete	B_rapa_g012473.t1	1833.0	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	B_rapa_g005734.t1	1306.9	1008	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	B_rapa_g023389.t1	2310.7	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	B_rapa_g017311.t1	1624.3	1107	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	B_rapa_g010206.t1	1577.7	1093	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Missing
4115at33090	Complete	B_rapa_g014088.t1	1375.4	871	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	B_rapa_g014087.t1	1197.3	802	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	B_rapa_g006285.t1	1290.2	952	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Missing
6843at33090	Fragmented	B_rapa_g016948.t1	65.3	93	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	B_rapa_g011085.t1	1371.7	788	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
