# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	P_patens_g008061.t1	3634.8	3436	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	P_patens_g008628.t1	4611.1	3389	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Duplicated	P_patens_g010387.t1	4950.1	3460	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	P_patens_g006828.t1	4769.4	3455	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	P_patens_g017986.t1	3004.7	2184	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	P_patens_g003716.t1	1250.5	1414	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	P_patens_g003050.t1	1480.1	1072	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	P_patens_g009750.t1	1411.4	1417	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	P_patens_g008479.t1	1215.7	995	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	P_patens_g006507.t1	1794.8	1678	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	P_patens_g019602.t1	1093.2	1063	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Duplicated	P_patens_g017539.t1	1196.3	961	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4034at33090	Duplicated	P_patens_g015364.t1	1149.6	953	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	P_patens_g006613.t1	1311.7	862	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	P_patens_g014124.t1	1042.9	795	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	P_patens_g018266.t1	855.2	952	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	P_patens_g008036.t1	708.1	682	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	P_patens_g018140.t1	1246.0	807	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	P_patens_g006546.t1	1251.3	792	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	P_patens_g010062.t1	1004.8	814	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	P_patens_g020696.t1	1110.9	858	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	P_patens_g010473.t1	929.0	707	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	P_patens_g008312.t1	631.9	692	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	P_patens_g011780.t1	1048.1	693	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	P_patens_g007957.t1	890.0	664	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	P_patens_g016421.t1	1558.6	870	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	P_patens_g006728.t1	1059.5	726	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	P_patens_g007026.t1	1199.8	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
