# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	Z_mays_g029173.t1	4266.1	3487	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	Z_mays_g008789.t1	5282.0	3754	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	Z_mays_g030819.t1	5481.3	3536	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Duplicated	Z_mays_g005011.t1	3320.6	2148	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
255at33090	Duplicated	Z_mays_g021751.t1	2976.5	1762	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	Z_mays_g035199.t1	1597.2	1518	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	Z_mays_g026383.t1	1526.3	1103	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	Z_mays_g011219.t1	1753.3	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	Z_mays_g025203.t1	1336.9	1009	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	Z_mays_g006868.t1	2229.0	1677	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	Z_mays_g030317.t1	1524.6	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	Z_mays_g031150.t1	1407.2	1017	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	Z_mays_g015557.t1	1401.3	863	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	Z_mays_g015568.t1	1033.1	703	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	Z_mays_g023337.t1	869.8	682	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	Z_mays_g029712.t1	822.4	633	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	Z_mays_g001403.t1	1348.1	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
