# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	P_patens_g008112.t1	3500.3	3344	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	P_patens_g008688.t1	4720.0	3449	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Duplicated	P_patens_g010461.t1	4950.1	3460	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	P_patens_g006846.t1	4777.1	3455	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	P_patens_g018060.t1	2863.7	2110	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	P_patens_g003725.t1	1277.9	1415	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	P_patens_g003065.t1	1448.3	1075	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	P_patens_g009814.t1	1411.4	1417	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	P_patens_g008538.t1	1189.8	995	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	P_patens_g006538.t1	1840.6	1678	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	P_patens_g019668.t1	1119.0	1063	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Duplicated	P_patens_g015435.t1	1212.2	953	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4034at33090	Duplicated	P_patens_g017622.t1	1115.4	919	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	P_patens_g006636.t1	1322.4	863	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	P_patens_g014204.t1	932.0	795	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	P_patens_g018345.t1	914.3	952	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	P_patens_g008090.t1	708.1	682	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	P_patens_g018214.t1	1231.3	807	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	P_patens_g006572.t1	1251.3	792	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	P_patens_g010132.t1	964.0	797	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	P_patens_g020790.t1	1111.5	858	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	P_patens_g010548.t1	881.8	702	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	P_patens_g008365.t1	669.5	721	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	P_patens_g011869.t1	1087.6	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	P_patens_g008010.t1	930.0	681	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	P_patens_g016504.t1	1558.6	870	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	P_patens_g006746.t1	1041.5	716	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	P_patens_g007060.t1	1210.1	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	P_patens_g006578.t1	954.9	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Duplicated	P_patens_g006235.t1	909.8	697	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
15682at33090	Duplicated	P_patens_g005054.t1	881.6	687	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	P_patens_g015170.t1	883.6	672	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	P_patens_g011968.t1	763.0	593	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	P_patens_g018209.t1	845.3	813	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	P_patens_g004307.t1	830.7	540	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	P_patens_g001390.t1	1299.2	827	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	P_patens_g016367.t1	564.4	512	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Duplicated	P_patens_g016312.t1	669.7	431	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22109at33090	Duplicated	P_patens_g018189.t1	664.8	431	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	P_patens_g002802.t1	632.8	557	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	P_patens_g000264.t1	836.1	676	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	P_patens_g009199.t1	439.0	432	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Duplicated	P_patens_g009560.t1	723.5	643	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
23853at33090	Duplicated	P_patens_g003454.t1	726.9	637	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	P_patens_g005700.t1	633.9	691	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	P_patens_g007332.t1	750.4	708	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	P_patens_g010313.t1	644.4	499	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	P_patens_g012723.t1	781.3	628	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Duplicated	P_patens_g010182.t1	699.5	542	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
27607at33090	Duplicated	P_patens_g002602.t1	674.6	542	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
