# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Fragmented	A_thaliana_g023062.t1	2991.1	2163	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Duplicated	A_thaliana_g011464.t1	4702.9	2987	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	A_thaliana_g011464.t2	4702.9	2987	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Missing
383at33090	Fragmented	A_thaliana_g011151.t1	691.0	540	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Fragmented	A_thaliana_g006081.t1	407.0	403	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	A_thaliana_g026207.t1	1084.6	1074	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Fragmented	A_thaliana_g005840.t1	667.1	483	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	A_thaliana_g015872.t1	2297.5	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	A_thaliana_g012487.t1	925.2	733	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Fragmented	A_thaliana_g006355.t1	692.5	569	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Fragmented	A_thaliana_g015795.t1	672.0	363	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	A_thaliana_g015797.t1	986.6	700	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	A_thaliana_g006894.t1	986.4	771	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
