# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Duplicated	G_max_g014013.t1	4276.7	3448	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
2at33090	Duplicated	G_max_g035273.t1	4228.0	3374	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Duplicated	G_max_g044021.t1	5299.8	3690	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
5at33090	Duplicated	G_max_g021325.t1	5344.0	3685	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Duplicated	G_max_g018114.t1	5647.0	3571	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	G_max_g041522.t1	5580.4	3550	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Duplicated	G_max_g006698.t1	3354.0	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
255at33090	Duplicated	G_max_g043870.t1	3409.3	2178	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	G_max_g014177.t1	1845.7	1504	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Duplicated	G_max_g010251.t1	1564.4	1094	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1363at33090	Duplicated	G_max_g017584.t1	1598.5	1091	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1363at33090	Duplicated	G_max_g017079.t1	1565.2	1076	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	G_max_g003903.t1	2003.1	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	G_max_g035239.t1	1394.9	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	G_max_g041958.t1	2239.4	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	G_max_g006288.t1	1635.4	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	G_max_g043470.t1	1597.2	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Duplicated	G_max_g008983.t1	1440.1	1024	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4034at33090	Duplicated	G_max_g038175.t1	1428.6	974	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	G_max_g029688.t1	1410.5	875	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	G_max_g025489.t1	1208.5	808	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5305at33090	Duplicated	G_max_g007934.t1	1211.1	802	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
