# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	V_vinifera_g013935.t1	4683.1	3531	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	V_vinifera_g001144.t1	5595.1	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	V_vinifera_g022228.t1	5763.9	3543	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	V_vinifera_g005981.t1	2721.8	1390	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	V_vinifera_g023930.t1	1898.2	1563	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Fragmented	V_vinifera_g019087.t1	1143.0	699	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	V_vinifera_g009247.t1	2022.4	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Fragmented	V_vinifera_g002173.t1	606.2	525	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	V_vinifera_g022904.t1	2338.0	1678	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	V_vinifera_g013590.t1	1520.7	978	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Fragmented	V_vinifera_g026114.t1	837.7	622	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Fragmented	V_vinifera_g020592.t1	977.4	520	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	V_vinifera_g020598.t1	1269.6	817	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	V_vinifera_g030633.t1	1300.4	961	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	V_vinifera_g025335.t1	882.4	658	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	V_vinifera_g021228.t1	1395.4	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	V_vinifera_g006920.t1	1398.2	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	V_vinifera_g026501.t1	1163.7	778	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	V_vinifera_g023916.t1	1373.9	851	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
