# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	L_sativa_g020870.t1	4439.8	3513	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	L_sativa_g041694.t1	5388.2	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	L_sativa_g023865.t1	5634.6	3512	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	L_sativa_g048579.t1	3453.4	2189	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	L_sativa_g018507.t1	1857.3	1501	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	L_sativa_g051406.t1	1612.1	1102	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	L_sativa_g044672.t1	1945.2	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	L_sativa_g018073.t1	1308.1	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Fragmented	L_sativa_g015767.t1	1382.0	959	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	L_sativa_g009076.t1	1546.7	1087	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	L_sativa_g025278.t1	1483.4	1021	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	L_sativa_g009320.t1	1430.8	876	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	L_sativa_g006433.t1	1210.3	813	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	L_sativa_g038603.t1	1219.8	948	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	L_sativa_g025723.t1	877.8	688	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	L_sativa_g044979.t1	1363.0	802	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	L_sativa_g003536.t1	1347.9	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	L_sativa_g021306.t1	1255.0	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	L_sativa_g035824.t1	1362.0	854	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	L_sativa_g010363.t1	1051.8	715	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	L_sativa_g021023.t1	871.7	786	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	L_sativa_g010779.t1	1167.7	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	L_sativa_g009292.t1	1076.2	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	L_sativa_g031780.t1	1955.3	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	L_sativa_g002980.t1	1221.0	729	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	L_sativa_g019597.t1	1248.1	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	L_sativa_g048879.t1	1099.2	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	L_sativa_g040142.t1	1034.5	694	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	L_sativa_g042577.t1	1083.6	692	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	L_sativa_g051024.t1	890.8	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	L_sativa_g009482.t1	1061.6	815	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	L_sativa_g022654.t1	1003.0	558	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	L_sativa_g018791.t1	1396.7	828	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	L_sativa_g019438.t1	716.5	544	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	L_sativa_g020282.t1	724.5	431	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	L_sativa_g048534.t1	879.9	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	L_sativa_g007646.t1	1025.5	676	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	L_sativa_g029329.t1	572.3	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	L_sativa_g046904.t1	798.5	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	L_sativa_g025269.t1	944.0	703	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	L_sativa_g004779.t1	1020.6	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	L_sativa_g044408.t1	785.5	507	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	L_sativa_g043784.t1	925.0	622	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	L_sativa_g009806.t1	808.4	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	L_sativa_g032522.t1	846.2	533	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	L_sativa_g042793.t1	858.3	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
