# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	V_vinifera_g016454.t1	4700.8	3541	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	V_vinifera_g003955.t1	5652.4	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	V_vinifera_g024547.t1	5763.9	3543	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	V_vinifera_g008721.t1	3585.0	2191	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	V_vinifera_g026211.t1	1917.7	1558	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	V_vinifera_g021536.t1	1644.8	1087	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	V_vinifera_g011884.t1	2030.5	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	V_vinifera_g004938.t1	1322.0	958	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	V_vinifera_g025179.t1	2338.0	1678	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	V_vinifera_g016127.t1	1698.0	1094	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	V_vinifera_g028385.t1	1544.3	1029	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	V_vinifera_g022951.t1	1450.4	869	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	V_vinifera_g022956.t1	1269.4	817	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	V_vinifera_g032724.t1	1338.5	961	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	V_vinifera_g027679.t1	937.3	685	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
