# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Duplicated	G_max_g015792.t1	4320.1	3520	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
2at33090	Duplicated	G_max_g039409.t1	4292.3	3444	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Duplicated	G_max_g023833.t1	5465.0	3747	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
5at33090	Duplicated	G_max_g049179.t1	5421.9	3747	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Duplicated	G_max_g020152.t1	5647.0	3571	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	G_max_g046433.t1	5580.4	3550	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Duplicated	G_max_g007673.t1	3490.2	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
255at33090	Duplicated	G_max_g049029.t1	3488.6	2177	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Duplicated	G_max_g015957.t1	1845.7	1504	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
383at33090	Duplicated	G_max_g039571.t1	1834.6	1499	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Duplicated	G_max_g019597.t1	1598.5	1091	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1363at33090	Duplicated	G_max_g011834.t1	1559.3	1083	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1363at33090	Duplicated	G_max_g019078.t1	1583.3	1076	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	G_max_g004629.t1	2003.1	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	G_max_g039372.t1	1202.2	915	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	G_max_g046861.t1	2239.4	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	G_max_g048626.t1	1591.1	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	G_max_g007256.t1	1622.4	1089	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Duplicated	G_max_g042476.t1	1535.3	1025	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4034at33090	Duplicated	G_max_g010304.t1	1532.5	1024	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	G_max_g033064.t1	1410.5	875	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	G_max_g028396.t1	1222.3	808	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5305at33090	Duplicated	G_max_g009016.t1	1211.1	802	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	G_max_g023859.t1	1259.6	957	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Duplicated	G_max_g026123.t1	885.7	680	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6512at33090	Duplicated	G_max_g050748.t1	890.8	630	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	G_max_g048834.t1	1405.5	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Duplicated	G_max_g037985.t1	1384.4	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
7366at33090	Duplicated	G_max_g021560.t1	1376.2	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Duplicated	G_max_g042238.t1	1289.0	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
8072at33090	Duplicated	G_max_g010465.t1	1288.1	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Duplicated	G_max_g049097.t1	1400.0	858	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9044at33090	Duplicated	G_max_g007735.t1	1389.0	858	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	G_max_g000783.t1	1076.3	723	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Duplicated	G_max_g036963.t1	851.5	764	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
9849at33090	Duplicated	G_max_g034452.t1	841.4	761	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	G_max_g025859.t1	1175.1	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	G_max_g022453.t1	1097.5	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	G_max_g018552.t1	1950.3	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Duplicated	G_max_g021206.t1	1220.8	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
12439at33090	Duplicated	G_max_g000012.t1	1211.8	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	G_max_g017852.t1	1298.7	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Duplicated	G_max_g029339.t1	1120.3	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
13643at33090	Duplicated	G_max_g023331.t1	1114.8	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Duplicated	G_max_g039798.t1	1046.4	698	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
15682at33090	Duplicated	G_max_g047738.t1	1026.0	698	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	G_max_g048659.t1	1065.5	700	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Duplicated	G_max_g029616.t1	931.0	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18455at33090	Duplicated	G_max_g027826.t1	926.9	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Duplicated	G_max_g044202.t1	1091.0	800	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
18801at33090	Duplicated	G_max_g028860.t1	1083.9	797	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Duplicated	G_max_g004552.t1	1109.5	671	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21163at33090	Duplicated	G_max_g036482.t1	1122.2	669	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	G_max_g006439.t1	1421.9	827	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	G_max_g017226.t1	720.1	534	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	G_max_g010560.t1	722.2	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	G_max_g036782.t1	895.2	624	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Duplicated	G_max_g051249.t1	1070.8	673	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
22958at33090	Duplicated	G_max_g025614.t1	1067.9	673	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	G_max_g007771.t1	558.1	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Duplicated	G_max_g003732.t1	846.4	626	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
23853at33090	Duplicated	G_max_g024097.t1	841.1	626	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Duplicated	G_max_g042491.t1	957.5	704	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
24838at33090	Duplicated	G_max_g010321.t1	960.3	702	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Duplicated	G_max_g049937.t1	1019.3	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
25435at33090	Duplicated	G_max_g025178.t1	978.5	708	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	G_max_g001278.t1	807.1	522	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	G_max_g045247.t1	951.2	627	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Duplicated	G_max_g027398.t1	804.8	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
27607at33090	Duplicated	G_max_g001783.t1	803.2	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	G_max_g048388.t1	878.6	531	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
