# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	B_rapa_g006771.t1	4231.9	3512	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	B_rapa_g012791.t1	5388.7	3740	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	B_rapa_g021431.t1	5555.3	3550	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	B_rapa_g007753.t1	3441.5	2186	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	B_rapa_g025810.t1	1719.4	1514	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	B_rapa_g034712.t1	1628.6	1097	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Duplicated	B_rapa_g048115.t1	1875.4	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1419at33090	Duplicated	B_rapa_g016256.t1	1833.0	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	B_rapa_g006910.t1	1373.8	1008	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	B_rapa_g029890.t1	2296.2	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	B_rapa_g022222.t1	1624.3	1107	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	B_rapa_g013705.t1	1577.7	1093	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	B_rapa_g034931.t1	1443.2	1021	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	B_rapa_g018193.t1	1418.2	871	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	B_rapa_g018192.t1	1197.3	802	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	B_rapa_g007623.t1	1290.2	952	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	B_rapa_g047566.t1	791.9	612	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	B_rapa_g041414.t1	1401.0	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	B_rapa_g014707.t1	1294.0	759	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Duplicated	B_rapa_g040228.t1	1218.6	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
8072at33090	Duplicated	B_rapa_g028792.t1	1215.0	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	B_rapa_g046332.t1	1375.2	856	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	B_rapa_g029937.t1	1039.5	741	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	B_rapa_g010071.t1	799.3	763	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	B_rapa_g049860.t1	1163.2	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	B_rapa_g013774.t1	1090.0	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	B_rapa_g032880.t1	1964.5	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	B_rapa_g014454.t1	1163.2	691	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	B_rapa_g014476.t1	1271.6	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Duplicated	B_rapa_g047434.t1	1093.0	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
13643at33090	Duplicated	B_rapa_g006613.t1	1077.4	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
