# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	B_distachyon_g015098.t1	4266.3	3513	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	B_distachyon_g024356.t1	5188.5	3692	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	B_distachyon_g019129.t1	5515.3	3587	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	B_distachyon_g001011.t1	3353.6	2188	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	B_distachyon_g010656.t1	1695.3	1499	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	B_distachyon_g015162.t1	1570.3	1116	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	B_distachyon_g012810.t1	1758.9	1449	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	B_distachyon_g016919.t1	1366.1	998	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	B_distachyon_g014304.t1	2241.0	1674	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	B_distachyon_g004947.t1	1502.4	1104	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	B_distachyon_g020691.t1	1306.3	978	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	B_distachyon_g012618.t1	1399.0	862	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	B_distachyon_g012599.t1	1198.7	816	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	B_distachyon_g015685.t1	1231.2	947	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	B_distachyon_g008770.t1	848.9	629	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	B_distachyon_g005858.t1	1368.0	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	B_distachyon_g018762.t1	1330.9	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
