# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	L_sativa_g011529.t1	4437.0	3513	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	L_sativa_g023490.t1	5388.2	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	L_sativa_g013008.t1	5634.6	3512	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	L_sativa_g027555.t1	3453.7	2189	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	L_sativa_g010177.t1	1801.1	1450	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	L_sativa_g029259.t1	1604.8	1102	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	L_sativa_g025267.t1	1919.0	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	L_sativa_g009903.t1	1370.7	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Fragmented	L_sativa_g008787.t1	1382.4	959	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	L_sativa_g004506.t1	1546.7	1087	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	L_sativa_g013833.t1	1486.8	1021	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	L_sativa_g004645.t1	1430.8	876	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	L_sativa_g003228.t1	1210.3	813	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	L_sativa_g021609.t1	1168.1	948	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	L_sativa_g014067.t1	877.8	688	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	L_sativa_g025446.t1	1336.2	787	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	L_sativa_g001627.t1	1347.9	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	L_sativa_g011769.t1	1255.0	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	L_sativa_g019931.t1	1322.1	854	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
