# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_italica_g024411.t1	4283.8	3504	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_italica_g006910.t1	5204.7	3679	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_italica_g004373.t1	5559.0	3552	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_italica_g023414.t1	3399.6	2147	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_italica_g013801.t1	1726.5	1466	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_italica_g024333.t1	1541.6	1094	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_italica_g020940.t1	1792.4	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	S_italica_g001668.t1	1339.3	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_italica_g016493.t1	2279.5	1685	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_italica_g003782.t1	1544.9	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_italica_g004724.t1	1372.6	1010	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_italica_g015962.t1	1409.1	864	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_italica_g015959.t1	1209.9	804	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_italica_g024965.t1	1113.1	889	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_italica_g007904.t1	838.8	631	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	S_italica_g025917.t1	1330.9	792	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	S_italica_g009392.t1	1348.1	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_italica_g024317.t1	1122.9	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
