# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	B_rapa_g005421.t1	4231.9	3512	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	B_rapa_g009110.t1	5388.7	3740	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	B_rapa_g015949.t1	5555.3	3550	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	B_rapa_g006127.t1	3442.0	2183	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	B_rapa_g019413.t1	1759.4	1514	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	B_rapa_g026365.t1	1628.6	1097	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Duplicated	B_rapa_g036975.t1	1875.4	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1419at33090	Duplicated	B_rapa_g011984.t1	1833.0	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	B_rapa_g005524.t1	1373.8	1008	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	B_rapa_g022632.t1	2310.7	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	B_rapa_g016633.t1	1624.3	1107	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	B_rapa_g009846.t1	1577.7	1093	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	B_rapa_g026568.t1	1443.2	1021	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	B_rapa_g013534.t1	1418.2	871	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
