# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_lycopersicum_g014316.t1	4593.7	3495	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_lycopersicum_g008106.t1	5468.8	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_lycopersicum_g010164.t1	5632.2	3522	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_lycopersicum_g013899.t1	3529.4	2190	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_lycopersicum_g001793.t1	1832.4	1458	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_lycopersicum_g002400.t1	1623.8	1087	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Missing
1557at33090	Complete	S_lycopersicum_g013113.t1	1402.7	997	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_lycopersicum_g011370.t1	2304.6	1680	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_lycopersicum_g004352.t1	1664.6	1091	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_lycopersicum_g012811.t1	1503.8	1023	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_lycopersicum_g021070.t1	1424.8	874	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_lycopersicum_g004837.t1	1236.3	801	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_lycopersicum_g007008.t1	1258.3	954	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_lycopersicum_g010880.t1	853.9	684	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	S_lycopersicum_g002191.t1	1355.2	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	S_lycopersicum_g000701.t1	1386.3	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_lycopersicum_g018114.t1	1271.0	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	S_lycopersicum_g001798.t1	1397.8	857	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	S_lycopersicum_g008659.t1	1055.1	732	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	S_lycopersicum_g012928.t1	876.9	761	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	S_lycopersicum_g005087.t1	1175.8	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	S_lycopersicum_g001867.t1	1097.0	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	S_lycopersicum_g022823.t1	1963.6	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	S_lycopersicum_g001308.t1	1226.4	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	S_lycopersicum_g009461.t1	1286.5	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	S_lycopersicum_g015263.t1	1089.5	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	S_lycopersicum_g003154.t1	1071.0	687	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	S_lycopersicum_g016936.t1	1094.6	676	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	S_lycopersicum_g002844.t1	918.5	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	S_lycopersicum_g005284.t1	1114.8	812	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	S_lycopersicum_g009644.t1	1028.4	628	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	S_lycopersicum_g001433.t1	1417.4	826	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	S_lycopersicum_g009291.t1	727.8	534	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	S_lycopersicum_g012128.t1	724.7	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	S_lycopersicum_g015033.t1	928.9	620	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	S_lycopersicum_g013900.t1	1089.7	674	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	S_lycopersicum_g013063.t1	564.2	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	S_lycopersicum_g023364.t1	846.2	641	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	S_lycopersicum_g012345.t1	969.1	706	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	S_lycopersicum_g023987.t1	1019.7	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	S_lycopersicum_g022439.t1	810.6	522	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	S_lycopersicum_g022847.t1	958.3	638	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	S_lycopersicum_g009761.t1	813.7	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	S_lycopersicum_g022543.t1	891.2	520	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	S_lycopersicum_g019118.t1	820.4	593	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	S_lycopersicum_g015390.t1	957.7	513	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	S_lycopersicum_g001841.t1	691.9	435	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	S_lycopersicum_g006105.t1	1238.7	699	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	S_lycopersicum_g011043.t1	718.8	453	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	S_lycopersicum_g003342.t1	996.2	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	S_lycopersicum_g018953.t1	927.6	551	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	S_lycopersicum_g005265.t1	780.0	512	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	S_lycopersicum_g003752.t1	1117.7	608	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
