# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	O_sativa_g004723.t1	4369.4	3518	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	O_sativa_g017533.t1	5235.1	3700	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	O_sativa_g026398.t1	5581.0	3527	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	O_sativa_g014359.t1	3422.7	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	O_sativa_g001608.t1	1672.7	1457	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	O_sativa_g010846.t1	1534.8	1065	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	O_sativa_g003910.t1	1761.3	1484	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	O_sativa_g010404.t1	1338.1	997	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	O_sativa_g024793.t1	2277.4	1675	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	O_sativa_g022745.t1	1535.5	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	O_sativa_g026885.t1	1404.5	1018	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	O_sativa_g003743.t1	1414.0	873	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	O_sativa_g003740.t1	1214.2	803	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	O_sativa_g005376.t1	1210.0	960	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	O_sativa_g018243.t1	769.4	588	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	O_sativa_g013146.t1	1360.3	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	O_sativa_g008341.t1	1349.3	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	O_sativa_g004817.t1	1175.2	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	O_sativa_g011942.t1	1198.9	766	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	O_sativa_g012518.t1	1056.7	733	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	O_sativa_g022612.t1	820.0	782	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	O_sativa_g015411.t1	1148.0	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	O_sativa_g014919.t1	1084.6	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	O_sativa_g003830.t1	1955.8	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	O_sativa_g021652.t1	1213.9	728	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	O_sativa_g000132.t1	1251.9	702	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	O_sativa_g021789.t1	1081.6	703	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	O_sativa_g013319.t1	947.9	682	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	O_sativa_g017176.t1	996.0	691	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	O_sativa_g022328.t1	827.7	615	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	O_sativa_g020771.t1	1082.0	806	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	O_sativa_g025219.t1	1079.4	668	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	O_sativa_g019919.t1	1346.3	779	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	O_sativa_g011505.t1	658.2	545	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	O_sativa_g007886.t1	712.1	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	O_sativa_g018571.t1	870.6	624	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	O_sativa_g004744.t1	1036.1	637	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	O_sativa_g004437.t1	529.1	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	O_sativa_g018762.t1	828.2	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	O_sativa_g021116.t1	898.9	695	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	O_sativa_g012862.t1	1007.2	709	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	O_sativa_g013032.t1	774.2	506	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	O_sativa_g003070.t1	927.5	644	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	O_sativa_g008742.t1	801.1	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	O_sativa_g019086.t1	777.8	514	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	O_sativa_g011599.t1	815.3	590	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	O_sativa_g000144.t1	952.8	510	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	O_sativa_g011907.t1	659.7	430	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	O_sativa_g001881.t1	1607.0	658	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	O_sativa_g023442.t1	688.7	460	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	O_sativa_g018717.t1	925.3	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	O_sativa_g018858.t1	918.2	559	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	O_sativa_g025525.t1	768.5	512	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Fragmented	O_sativa_g007594.t1	764.0	424	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	O_sativa_g017443.t1	841.6	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	O_sativa_g016581.t1	886.4	582	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	O_sativa_g010527.t1	1060.2	545	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	O_sativa_g008049.t1	997.5	573	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	O_sativa_g005026.t1	821.6	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	O_sativa_g012817.t1	746.4	436	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	O_sativa_g004853.t1	868.4	643	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	O_sativa_g001562.t1	789.6	502	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	O_sativa_g019404.t1	1085.9	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	O_sativa_g023990.t1	724.9	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	O_sativa_g006381.t1	718.4	505	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	O_sativa_g025510.t1	849.5	440	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	O_sativa_g008876.t1	826.0	425	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	O_sativa_g007873.t1	708.3	440	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	O_sativa_g026722.t1	449.9	349	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	O_sativa_g019501.t1	891.7	446	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	O_sativa_g003382.t1	413.6	335	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	O_sativa_g000033.t1	532.8	396	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	O_sativa_g017741.t1	590.5	392	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	O_sativa_g019277.t1	441.9	404	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	O_sativa_g001582.t1	455.4	353	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Complete	O_sativa_g012387.t1	928.3	455	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	O_sativa_g010650.t1	655.7	360	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	O_sativa_g010962.t1	496.1	358	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	O_sativa_g024202.t1	1250.9	719	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	O_sativa_g022550.t1	809.5	421	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Complete	O_sativa_g025503.t1	738.3	447	https://v10-1.orthodb.org/?query=57004at33090	FAD/NAD(P)-binding domain superfamily
58672at33090	Complete	O_sativa_g015872.t1	458.7	262	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	O_sativa_g005300.t1	612.1	363	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Complete	O_sativa_g016845.t1	400.6	294	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	O_sativa_g002395.t1	666.5	371	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	O_sativa_g018744.t1	661.1	346	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	O_sativa_g013833.t1	863.3	610	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Complete	O_sativa_g012738.t1	423.9	330	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Complete	O_sativa_g026480.t1	803.3	482	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	O_sativa_g023009.t1	554.9	385	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	O_sativa_g017106.t1	742.8	618	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Duplicated	O_sativa_g012363.t1	506.0	330	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68537at33090	Duplicated	O_sativa_g021337.t1	497.5	325	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Complete	O_sativa_g000665.t1	658.5	431	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Complete	O_sativa_g001748.t1	443.3	284	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Complete	O_sativa_g020977.t1	626.6	432	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Complete	O_sativa_g021305.t1	551.6	370	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Duplicated	O_sativa_g009829.t1	565.5	335	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
69614at33090	Duplicated	O_sativa_g003155.t1	554.8	335	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
70613at33090	Complete	O_sativa_g019916.t1	700.0	375	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	O_sativa_g023025.t1	513.0	328	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Duplicated	O_sativa_g005673.t1	613.1	416	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
72992at33090	Duplicated	O_sativa_g007421.t1	534.3	387	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Complete	O_sativa_g016166.t1	685.0	377	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
74580at33090	Complete	O_sativa_g021152.t1	541.4	394	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74742at33090	Complete	O_sativa_g026672.t1	324.2	279	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Complete	O_sativa_g009457.t1	416.4	324	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Complete	O_sativa_g017256.t1	394.2	303	https://v10-1.orthodb.org/?query=76026at33090	SET domain
76849at33090	Complete	O_sativa_g000409.t1	692.5	465	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Complete	O_sativa_g015239.t1	361.6	273	https://v10-1.orthodb.org/?query=79950at33090	Rhodanese-like domain
83749at33090	Complete	O_sativa_g009369.t1	592.9	343	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
84114at33090	Complete	O_sativa_g019357.t1	623.1	346	https://v10-1.orthodb.org/?query=84114at33090	Protein of unknown function DUF4336
84264at33090	Complete	O_sativa_g020896.t1	599.0	616	https://v10-1.orthodb.org/?query=84264at33090	WW domain
87347at33090	Complete	O_sativa_g012186.t1	1163.5	735	https://v10-1.orthodb.org/?query=87347at33090	WD40 repeat
87734at33090	Complete	O_sativa_g003860.t1	292.4	244	https://v10-1.orthodb.org/?query=87734at33090	Helicase, C-terminal
88295at33090	Complete	O_sativa_g026578.t1	350.4	247	https://v10-1.orthodb.org/?query=88295at33090	Rab3-GAP regulatory subunit
88687at33090	Complete	O_sativa_g013312.t1	462.8	323	https://v10-1.orthodb.org/?query=88687at33090	Rad9/Ddc1
88771at33090	Complete	O_sativa_g025243.t1	487.0	391	https://v10-1.orthodb.org/?query=88771at33090	Tetratricopeptide-like helical domain superfamily
89796at33090	Complete	O_sativa_g012643.t1	893.4	543	https://v10-1.orthodb.org/?query=89796at33090	Conserved oligomeric Golgi complex subunit 6
90240at33090	Complete	O_sativa_g009208.t1	443.9	332	https://v10-1.orthodb.org/?query=90240at33090	Methyltransferase domain
90301at33090	Complete	O_sativa_g007878.t1	671.7	371	https://v10-1.orthodb.org/?query=90301at33090	Pyridoxal phosphate-dependent transferase
90872at33090	Complete	O_sativa_g015675.t1	527.8	302	https://v10-1.orthodb.org/?query=90872at33090	Cation efflux protein
92418at33090	Complete	O_sativa_g026204.t1	581.2	293	https://v10-1.orthodb.org/?query=92418at33090	NmrA-like domain
92579at33090	Complete	O_sativa_g014019.t1	383.1	321	https://v10-1.orthodb.org/?query=92579at33090	Ubiquitin-associated domain
95807at33090	Complete	O_sativa_g006170.t1	467.1	371	https://v10-1.orthodb.org/?query=95807at33090	ApaG domain
96953at33090	Complete	O_sativa_g007894.t1	359.4	267	https://v10-1.orthodb.org/?query=96953at33090	WD40-repeat-containing domain
97593at33090	Complete	O_sativa_g002201.t1	401.6	298	https://v10-1.orthodb.org/?query=97593at33090	Origin recognition complex subunit 4
101241at33090	Complete	O_sativa_g001014.t1	444.7	319	https://v10-1.orthodb.org/?query=101241at33090	Actin family
101701at33090	Complete	O_sativa_g019112.t1	784.0	506	https://v10-1.orthodb.org/?query=101701at33090	Nucleotide-diphospho-sugar transferases
102307at33090	Complete	O_sativa_g021700.t1	574.8	294	https://v10-1.orthodb.org/?query=102307at33090	WD40 repeat
103267at33090	Complete	O_sativa_g015915.t1	409.6	306	https://v10-1.orthodb.org/?query=103267at33090	RecQ-mediated genome instability protein 1
103382at33090	Complete	O_sativa_g012719.t1	309.5	216	https://v10-1.orthodb.org/?query=103382at33090	Oxoglutarate/iron-dependent dioxygenase
104218at33090	Complete	O_sativa_g012593.t1	481.4	261	https://v10-1.orthodb.org/?query=104218at33090	Tryptophan synthase beta subunit-like PLP-dependent enzyme
