# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Complete	P_trichocarpa_g011241.t1	3026.8	2450	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Fragmented	P_trichocarpa_g031461.t1	1540.0	1569	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Fragmented	P_trichocarpa_g033514.t1	1543.2	1004	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Fragmented	P_trichocarpa_g005651.t1	858.9	751	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Missing
1419at33090	Fragmented	P_trichocarpa_g034334.t1	863.1	613	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Fragmented	P_trichocarpa_g021288.t1	666.9	444	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	P_trichocarpa_g009509.t1	2276.7	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	P_trichocarpa_g014396.t1	1315.8	898	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Missing
4115at33090	Complete	P_trichocarpa_g008130.t1	1374.3	869	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	P_trichocarpa_g034567.t1	1010.2	701	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5305at33090	Duplicated	P_trichocarpa_g008142.t1	975.0	649	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Fragmented	P_trichocarpa_g015857.t1	658.6	430	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Fragmented	P_trichocarpa_g028364.t1	559.3	481	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	P_trichocarpa_g025169.t1	1071.3	585	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Fragmented	P_trichocarpa_g017474.t1	320.6	232	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Fragmented	P_trichocarpa_g024458.t1	527.9	383	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Fragmented	P_trichocarpa_g027325.t1	980.3	600	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	P_trichocarpa_g031210.t1	754.2	565	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Fragmented	P_trichocarpa_g006752.t1	492.6	478	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Fragmented	P_trichocarpa_g022130.t1	353.7	292	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	P_trichocarpa_g022294.t1	1054.7	630	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	P_trichocarpa_g009163.t1	1951.8	1057	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	P_trichocarpa_g013377.t1	1183.0	712	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Fragmented	P_trichocarpa_g022480.t1	414.2	187	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	P_trichocarpa_g007306.t1	1069.3	670	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Fragmented	P_trichocarpa_g019011.t1	331.3	290	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	P_trichocarpa_g027602.t1	824.8	559	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Duplicated	P_trichocarpa_g009689.t1	728.5	469	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18455at33090	Duplicated	P_trichocarpa_g009689.t2	728.5	469	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18455at33090	Duplicated	P_trichocarpa_g009689.t3	728.5	469	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Fragmented	P_trichocarpa_g009116.t1	430.4	401	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Missing
21751at33090	Fragmented	P_trichocarpa_g026878.t1	584.5	336	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Fragmented	P_trichocarpa_g008675.t1	324.7	288	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	P_trichocarpa_g028868.t1	710.8	418	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	P_trichocarpa_g012607.t1	800.8	543	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	P_trichocarpa_g033522.t1	1076.1	675	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Fragmented	P_trichocarpa_g006959.t1	418.5	333	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Missing
24838at33090	Fragmented	P_trichocarpa_g024327.t1	519.4	315	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Fragmented	P_trichocarpa_g000450.t1	536.3	386	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	P_trichocarpa_g030447.t1	789.6	502	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Fragmented	P_trichocarpa_g013441.t1	527.4	349	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	P_trichocarpa_g015369.t1	642.5	450	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	P_trichocarpa_g013862.t1	876.5	538	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
