# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_italica_g026438.t1	4303.4	3504	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_italica_g007487.t1	5326.4	3743	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_italica_g004780.t1	5559.3	3552	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_italica_g025401.t1	3401.3	2148	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_italica_g014972.t1	1726.5	1466	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_italica_g026357.t1	1633.8	1111	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_italica_g022581.t1	1819.8	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	S_italica_g001783.t1	1374.2	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_italica_g017817.t1	2279.5	1685	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_italica_g004127.t1	1544.9	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_italica_g005168.t1	1437.3	1010	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_italica_g017264.t1	1409.1	864	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_italica_g017261.t1	1209.9	804	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_italica_g027063.t1	1234.7	960	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_italica_g008552.t1	858.4	631	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	S_italica_g028057.t1	385.7	210	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	S_italica_g010179.t1	1348.1	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_italica_g026341.t1	1194.7	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	S_italica_g029323.t1	1347.1	855	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	S_italica_g028688.t1	1055.4	708	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	S_italica_g003913.t1	825.7	762	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Fragmented	S_italica_g019651.t1	560.5	387	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	S_italica_g024774.t1	1085.7	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Missing
12439at33090	Complete	S_italica_g012490.t1	1206.9	729	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	S_italica_g014008.t1	926.2	554	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	S_italica_g013046.t1	1076.3	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Fragmented	S_italica_g027869.t1	593.0	409	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	S_italica_g021520.t1	994.0	670	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	S_italica_g003652.t1	870.3	614	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Fragmented	S_italica_g011824.t1	885.6	595	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	S_italica_g018346.t1	1081.3	672	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	S_italica_g010894.t1	1254.5	695	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	S_italica_g002971.t1	667.7	535	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	S_italica_g009996.t1	707.3	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	S_italica_g010881.t1	866.3	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	S_italica_g026417.t1	1003.7	628	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	S_italica_g002747.t1	542.2	442	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	S_italica_g009544.t1	827.4	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
