# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	B_distachyon_g018881.t1	4268.5	3518	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	B_distachyon_g030694.t1	5189.1	3697	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	B_distachyon_g023757.t1	5515.1	3587	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	B_distachyon_g001256.t1	3303.0	2188	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	B_distachyon_g013410.t1	1633.7	1499	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	B_distachyon_g018966.t1	1626.1	1110	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	B_distachyon_g015954.t1	1800.8	1485	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	B_distachyon_g021094.t1	1359.8	998	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	B_distachyon_g017799.t1	2241.0	1674	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	B_distachyon_g006231.t1	1495.9	1104	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	B_distachyon_g026112.t1	1397.8	1026	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	B_distachyon_g015708.t1	1399.0	862	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	B_distachyon_g015686.t1	1198.7	816	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	B_distachyon_g019618.t1	1213.0	947	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	B_distachyon_g010948.t1	848.9	629	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	B_distachyon_g007423.t1	1368.0	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	B_distachyon_g023279.t1	1355.4	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	B_distachyon_g018987.t1	1148.8	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	B_distachyon_g008884.t1	1322.6	854	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	B_distachyon_g008159.t1	1049.1	735	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	B_distachyon_g006394.t1	808.3	771	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	B_distachyon_g028039.t1	1112.7	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	B_distachyon_g000533.t1	1082.4	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	B_distachyon_g019252.t1	1945.2	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	B_distachyon_g003574.t1	1200.0	733	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	B_distachyon_g009279.t1	1233.8	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	B_distachyon_g003799.t1	1062.1	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	B_distachyon_g007244.t1	964.5	680	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
