# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	P_trichocarpa_g029430.t1	4465.3	3486	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	P_trichocarpa_g010728.t1	5465.3	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	P_trichocarpa_g029945.t1	5709.5	3528	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	P_trichocarpa_g031903.t1	3500.0	2181	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	P_trichocarpa_g005348.t1	1847.9	1532	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	P_trichocarpa_g006251.t1	1645.9	1071	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	P_trichocarpa_g032690.t1	1958.4	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	P_trichocarpa_g020265.t1	1414.1	1009	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	P_trichocarpa_g009082.t1	2275.7	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	P_trichocarpa_g013744.t1	1648.6	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	P_trichocarpa_g027206.t1	1495.2	1019	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Duplicated	P_trichocarpa_g007771.t1	1427.9	869	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
4115at33090	Duplicated	P_trichocarpa_g000234.t1	1435.4	868	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	P_trichocarpa_g007783.t1	1217.4	814	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5305at33090	Duplicated	P_trichocarpa_g032935.t1	1216.5	814	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	P_trichocarpa_g015107.t1	1302.0	957	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	P_trichocarpa_g026985.t1	886.9	685	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	P_trichocarpa_g023936.t1	1395.1	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	P_trichocarpa_g016616.t1	1367.3	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Duplicated	P_trichocarpa_g023285.t1	1255.7	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
8072at33090	Duplicated	P_trichocarpa_g027362.t1	1252.5	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	P_trichocarpa_g025929.t1	1363.8	853	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	P_trichocarpa_g029712.t1	1064.7	729	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	P_trichocarpa_g006495.t1	878.5	764	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	P_trichocarpa_g021028.t1	1175.6	725	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	P_trichocarpa_g021179.t1	1084.3	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	P_trichocarpa_g008753.t1	1962.9	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	P_trichocarpa_g012769.t1	1218.1	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	P_trichocarpa_g021359.t1	1293.4	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	P_trichocarpa_g007012.t1	1114.0	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	P_trichocarpa_g018094.t1	1055.4	696	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	P_trichocarpa_g026194.t1	1095.7	696	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Duplicated	P_trichocarpa_g018629.t1	906.9	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18455at33090	Duplicated	P_trichocarpa_g032895.t1	906.9	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18455at33090	Duplicated	P_trichocarpa_g009267.t1	903.6	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	P_trichocarpa_g008706.t1	1105.0	808	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	P_trichocarpa_g026518.t1	1095.0	657	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	P_trichocarpa_g025519.t1	1430.5	828	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	P_trichocarpa_g008289.t1	723.3	538	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	P_trichocarpa_g027489.t1	744.0	434	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Duplicated	P_trichocarpa_g012053.t1	922.3	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22618at33090	Duplicated	P_trichocarpa_g003965.t1	920.6	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	P_trichocarpa_g031910.t1	1075.6	675	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	P_trichocarpa_g006694.t1	586.2	439	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	P_trichocarpa_g011691.t1	862.6	627	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	P_trichocarpa_g023133.t1	949.0	705	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	P_trichocarpa_g000425.t1	1044.6	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	P_trichocarpa_g028965.t1	792.3	510	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	P_trichocarpa_g012830.t1	963.2	625	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Duplicated	P_trichocarpa_g014641.t1	791.4	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
27607at33090	Duplicated	P_trichocarpa_g010944.t1	737.8	543	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	P_trichocarpa_g013214.t1	876.5	538	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Duplicated	P_trichocarpa_g012648.t1	891.4	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31155at33090	Duplicated	P_trichocarpa_g031369.t1	867.3	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31155at33090	Duplicated	P_trichocarpa_g032962.t1	865.2	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	P_trichocarpa_g020092.t1	963.3	512	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Duplicated	P_trichocarpa_g007750.t1	691.1	437	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32730at33090	Duplicated	P_trichocarpa_g000267.t1	607.3	394	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	P_trichocarpa_g008454.t1	1204.2	697	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
