# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Missing
24at33090	Duplicated	O_sativa_g039738.t1	4230.7	2636	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	O_sativa_g039738.t2	4230.7	2636	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Fragmented	O_sativa_g021499.t1	626.2	273	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Fragmented	O_sativa_g002362.t1	305.6	223	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Fragmented	O_sativa_g016696.t1	526.8	335	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Duplicated	O_sativa_g005332.t1	1157.2	908	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1419at33090	Duplicated	O_sativa_g005332.t2	1157.2	908	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Missing
1855at33090	Fragmented	O_sativa_g036972.t1	849.0	717	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Fragmented	O_sativa_g033936.t1	902.6	650	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Missing
4115at33090	Fragmented	O_sativa_g005138.t1	603.8	328	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	O_sativa_g005135.t1	1020.5	690	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Fragmented	O_sativa_g007788.t1	692.6	512	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Fragmented	O_sativa_g027135.t1	529.0	459	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	O_sativa_g019525.t3	521.4	311	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	O_sativa_g013044.t1	950.8	638	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Fragmented	O_sativa_g007080.t1	486.7	376	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Fragmented	O_sativa_g018070.t1	1030.7	683	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	O_sativa_g018752.t1	559.1	416	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Fragmented	O_sativa_g033744.t1	547.8	444	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Missing
11664at33090	Missing
11800at33090	Duplicated	O_sativa_g005240.t1	1955.1	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
11800at33090	Duplicated	O_sativa_g005240.t2	1955.1	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Fragmented	O_sativa_g032505.t1	629.1	425	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Fragmented	O_sativa_g000163.t1	237.4	170	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Fragmented	O_sativa_g032683.t1	668.1	446	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Fragmented	O_sativa_g019762.t1	212.6	194	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Fragmented	O_sativa_g025727.t1	565.6	256	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	O_sativa_g033352.t1	664.0	421	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Fragmented	O_sativa_g030805.t1	157.7	185	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Missing
21751at33090	Fragmented	O_sativa_g029699.t1	615.4	397	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Fragmented	O_sativa_g017559.t1	268.1	211	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Missing
22618at33090	Complete	O_sativa_g027862.t1	832.7	608	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Missing
23444at33090	Complete	O_sativa_g006504.t1	518.4	443	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Fragmented	O_sativa_g028156.t1	222.0	326	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Fragmented	O_sativa_g031571.t1	410.1	235	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	O_sativa_g019183.t1	644.1	517	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	O_sativa_g019387.t1	773.7	499	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Fragmented	O_sativa_g004340.t1	283.6	256	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Fragmented	O_sativa_g013581.t1	260.9	201	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Duplicated	O_sativa_g028659.t1	698.2	470	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
28920at33090	Duplicated	O_sativa_g028659.t2	697.6	470	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Fragmented	O_sativa_g017687.t1	434.7	345	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Fragmented	O_sativa_g000174.t1	682.5	365	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Fragmented	O_sativa_g018033.t1	409.9	302	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	O_sativa_g002773.t1	1007.6	681	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	O_sativa_g035256.t1	356.3	331	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	O_sativa_g028088.t1	925.4	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Fragmented	O_sativa_g028298.t1	586.3	352	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Fragmented	O_sativa_g038466.t1	453.7	349	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Fragmented	O_sativa_g011415.t1	280.9	193	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Missing
37699at33090	Missing
39913at33090	Fragmented	O_sativa_g016284.t1	447.2	266	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Missing
41146at33090	Fragmented	O_sativa_g007359.t1	623.4	341	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	O_sativa_g019125.t1	735.9	427	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Fragmented	O_sativa_g007133.t1	279.6	314	https://v10-1.orthodb.org/?query=42407at33090	WW domain
