# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_bicolor_g028701.t1	4268.4	3445	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_bicolor_g022631.t1	5327.0	3755	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_bicolor_g023798.t1	5498.3	3534	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_bicolor_g001091.t1	3393.8	2158	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_bicolor_g011501.t1	1603.7	1513	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_bicolor_g017434.t1	1561.5	1108	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_bicolor_g017948.t1	1825.5	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Fragmented	S_bicolor_g016022.t1	790.1	663	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_bicolor_g023371.t1	2239.2	1680	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_bicolor_g006103.t1	1528.7	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_bicolor_g007329.t1	1428.6	1020	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_bicolor_g013914.t1	1396.6	863	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_bicolor_g013910.t1	1207.2	791	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_bicolor_g002817.t1	1211.2	962	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_bicolor_g029331.t1	829.9	633	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	S_bicolor_g003849.t1	729.6	393	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	S_bicolor_g026414.t1	1347.6	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_bicolor_g002157.t1	1173.2	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	S_bicolor_g005253.t1	1335.8	855	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	S_bicolor_g004550.t1	1050.5	732	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	S_bicolor_g005897.t1	819.1	785	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	S_bicolor_g020182.t1	931.0	582	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	S_bicolor_g000391.t1	1080.4	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	S_bicolor_g003173.t1	1962.4	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	S_bicolor_g031584.t1	1189.8	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	S_bicolor_g010612.t1	1250.4	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	S_bicolor_g031762.t1	1075.6	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	S_bicolor_g003657.t1	989.0	680	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	S_bicolor_g022131.t1	1017.1	698	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	S_bicolor_g005595.t1	866.6	614	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	S_bicolor_g030643.t1	1073.1	800	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	S_bicolor_g012553.t1	1075.5	667	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
