# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_bicolor_g034398.t1	2899.3	2194	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_bicolor_g026189.t1	5327.0	3755	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_bicolor_g027451.t1	5498.3	3534	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_bicolor_g001051.t1	3393.8	2158	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_bicolor_g013153.t1	906.2	866	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_bicolor_g019519.t1	1623.1	1089	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_bicolor_g019973.t1	1825.5	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	S_bicolor_g018169.t1	1354.8	1008	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_bicolor_g026872.t1	2239.2	1680	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_bicolor_g006569.t1	1528.7	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_bicolor_g008443.t1	1428.6	1020	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_bicolor_g015467.t1	1396.6	863	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_bicolor_g015463.t1	1207.2	791	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_bicolor_g003453.t1	1211.2	962	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_bicolor_g034982.t1	850.8	633	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	S_bicolor_g004456.t1	460.6	282	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Fragmented	S_bicolor_g031551.t1	634.8	386	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_bicolor_g002106.t1	1186.6	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	S_bicolor_g005784.t1	1335.8	855	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	S_bicolor_g005136.t1	1050.5	732	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	S_bicolor_g006395.t1	822.0	786	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	S_bicolor_g023019.t1	1146.1	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	S_bicolor_g000402.t1	815.3	584	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	S_bicolor_g003799.t1	1962.4	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	S_bicolor_g037830.t1	1204.5	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	S_bicolor_g011490.t1	1265.7	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	S_bicolor_g037992.t1	1075.6	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	S_bicolor_g004274.t1	996.3	680	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	S_bicolor_g025732.t1	1017.1	698	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	S_bicolor_g006112.t1	866.6	614	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	S_bicolor_g036197.t1	1073.1	800	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	S_bicolor_g014165.t1	1039.5	638	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	S_bicolor_g035215.t1	1405.5	817	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	S_bicolor_g019380.t1	528.2	374	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	S_bicolor_g030745.t1	703.9	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	S_bicolor_g035198.t1	864.4	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	S_bicolor_g002193.t1	1060.3	674	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	S_bicolor_g012000.t1	544.2	443	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	S_bicolor_g033944.t1	819.0	641	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	S_bicolor_g036674.t1	903.6	700	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	S_bicolor_g004778.t1	1010.9	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	S_bicolor_g004580.t1	765.2	519	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	S_bicolor_g014738.t1	935.5	646	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	S_bicolor_g038503.t1	794.3	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	S_bicolor_g034331.t1	822.2	512	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	S_bicolor_g019490.t1	869.1	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	S_bicolor_g011476.t1	927.1	510	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	S_bicolor_g005821.t1	694.9	433	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	S_bicolor_g013482.t1	1637.7	689	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	S_bicolor_g009629.t1	714.2	464	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	S_bicolor_g033897.t1	938.8	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Fragmented	S_bicolor_g034054.t1	639.5	407	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	S_bicolor_g028492.t1	794.7	512	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	S_bicolor_g029957.t1	1049.4	607	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	S_bicolor_g026067.t1	834.9	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	S_bicolor_g025022.t1	908.7	585	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	S_bicolor_g018288.t1	1057.4	545	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	S_bicolor_g009038.t1	982.0	573	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	S_bicolor_g001847.t1	823.2	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	S_bicolor_g004827.t1	743.8	436	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	S_bicolor_g002060.t1	883.2	642	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	S_bicolor_g013095.t1	706.3	448	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	S_bicolor_g034654.t1	1089.0	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	S_bicolor_g010185.t1	728.6	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	S_bicolor_g010994.t1	709.8	506	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
