# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	B_distachyon_g016411.t1	2652.9	2333	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	B_distachyon_g026549.t1	5299.6	3751	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	B_distachyon_g020650.t1	5515.1	3587	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Fragmented	B_distachyon_g001088.t1	213.9	220	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	B_distachyon_g011578.t1	1694.9	1499	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	B_distachyon_g016481.t1	1626.4	1116	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	B_distachyon_g013839.t1	1800.8	1485	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	B_distachyon_g018343.t1	1274.5	998	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	B_distachyon_g015468.t1	2241.0	1674	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	B_distachyon_g005375.t1	1502.4	1104	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Fragmented	B_distachyon_g022549.t1	805.2	623	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	B_distachyon_g013647.t1	1399.0	862	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	B_distachyon_g013628.t1	1198.6	816	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	B_distachyon_g017038.t1	1236.9	947	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	B_distachyon_g009496.t1	848.9	629	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
