# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Fragmented	S_italica_g008682.t1	1263.0	1118	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Fragmented	S_italica_g005575.t1	1460.7	1449	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Missing
383at33090	Complete	S_italica_g017503.t1	996.3	1022	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Fragmented	S_italica_g030952.t1	399.7	336	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_italica_g026432.t1	1052.9	982	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Fragmented	S_italica_g002102.t1	482.9	369	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_italica_g020738.t1	2223.2	1638	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_italica_g004799.t1	1328.8	956	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_italica_g006045.t1	1161.0	824	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Fragmented	S_italica_g020095.t2	640.8	442	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_italica_g020092.t1	1211.6	791	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Fragmented	S_italica_g031798.t1	660.9	551	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_italica_g009919.t1	840.2	631	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
