# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	P_trichocarpa_g030657.t1	4453.2	3522	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	P_trichocarpa_g011166.t1	5465.3	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	P_trichocarpa_g031168.t1	5709.5	3528	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	P_trichocarpa_g033214.t1	3467.1	2169	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	P_trichocarpa_g005583.t1	1847.9	1532	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	P_trichocarpa_g006456.t1	1528.1	1070	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	P_trichocarpa_g034000.t1	1958.4	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	P_trichocarpa_g021030.t1	1388.2	1009	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	P_trichocarpa_g009417.t1	2276.1	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	P_trichocarpa_g014291.t1	1646.5	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	P_trichocarpa_g028289.t1	1466.0	1019	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Duplicated	P_trichocarpa_g008016.t1	1427.9	869	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
4115at33090	Duplicated	P_trichocarpa_g000251.t1	1354.8	842	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	P_trichocarpa_g008028.t1	1217.4	814	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5305at33090	Duplicated	P_trichocarpa_g034275.t1	1216.5	814	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	P_trichocarpa_g015699.t1	1239.8	957	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	P_trichocarpa_g028065.t1	886.4	685	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	P_trichocarpa_g024933.t1	1380.3	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	P_trichocarpa_g017328.t1	1345.7	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Duplicated	P_trichocarpa_g024214.t1	1202.6	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
8072at33090	Duplicated	P_trichocarpa_g028432.t1	1142.0	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	P_trichocarpa_g027067.t1	1363.8	853	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	P_trichocarpa_g030919.t1	1066.7	729	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	P_trichocarpa_g006674.t1	878.5	764	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	P_trichocarpa_g021864.t1	1170.2	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	P_trichocarpa_g022034.t1	1084.3	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	P_trichocarpa_g009077.t1	1962.9	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	P_trichocarpa_g013279.t1	1218.1	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	P_trichocarpa_g022228.t1	1280.9	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	P_trichocarpa_g007203.t1	1089.6	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	P_trichocarpa_g018778.t1	1036.8	686	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	P_trichocarpa_g027339.t1	1095.7	696	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Duplicated	P_trichocarpa_g019345.t1	894.1	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18455at33090	Duplicated	P_trichocarpa_g009619.t1	893.2	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	P_trichocarpa_g009030.t1	1105.0	808	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	P_trichocarpa_g027672.t1	1066.1	657	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	P_trichocarpa_g026624.t1	1418.5	821	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
