# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Duplicated	B_distachyon_g034013.t1	3593.5	2441	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
5at33090	Duplicated	B_distachyon_g034013.t2	3593.5	2441	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Fragmented	B_distachyon_g026201.t1	4141.4	2551	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Missing
383at33090	Fragmented	B_distachyon_g014778.t1	859.1	646	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Missing
1419at33090	Complete	B_distachyon_g017510.t1	1060.9	1017	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Missing
1855at33090	Complete	B_distachyon_g019507.t1	2239.4	1674	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	B_distachyon_g017898.t1	158.7	884	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Fragmented	B_distachyon_g028922.t1	594.8	540	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Fragmented	B_distachyon_g017281.t1	637.2	337	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	B_distachyon_g017260.t1	1030.6	719	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	B_distachyon_g021689.t1	959.1	762	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	B_distachyon_g011918.t1	830.5	629	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	B_distachyon_g008115.t1	391.5	343	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	B_distachyon_g025667.t1	870.4	557	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Fragmented	B_distachyon_g020959.t1	591.3	423	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	B_distachyon_g009718.t1	1057.9	710	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	B_distachyon_g008945.t1	784.5	586	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Fragmented	B_distachyon_g006964.t1	298.1	489	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Fragmented	B_distachyon_g030951.t1	282.1	330	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Fragmented	B_distachyon_g000527.t1	621.8	303	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	B_distachyon_g021275.t1	1945.2	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Fragmented	B_distachyon_g003869.t1	618.0	348	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Fragmented	B_distachyon_g010080.t1	793.4	457	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Fragmented	B_distachyon_g004091.t1	643.6	446	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Duplicated	B_distachyon_g007905.t1	797.4	588	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
15682at33090	Duplicated	B_distachyon_g007905.t2	797.4	588	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
15682at33090	Duplicated	B_distachyon_g007905.t3	797.4	588	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	B_distachyon_g033471.t1	927.9	627	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	B_distachyon_g007219.t1	688.8	409	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Fragmented	B_distachyon_g005432.t1	714.3	473	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Missing
21751at33090	Fragmented	B_distachyon_g006556.t1	448.5	301	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Fragmented	B_distachyon_g024952.t1	393.9	319	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	B_distachyon_g030092.t1	716.5	432	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	B_distachyon_g006572.t1	620.6	454	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Missing
23444at33090	Complete	B_distachyon_g028324.t1	540.2	443	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Fragmented	B_distachyon_g013309.t1	634.0	431	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	B_distachyon_g005175.t1	457.8	447	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Fragmented	B_distachyon_g008485.t1	471.8	332	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	B_distachyon_g008254.t1	778.8	518	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	B_distachyon_g014386.t1	843.3	594	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Fragmented	B_distachyon_g017524.t1	248.6	185	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	B_distachyon_g012796.t1	823.6	497	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	B_distachyon_g024258.t1	807.8	564	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
