# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	Z_mays_g022268.t1	4266.1	3487	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	Z_mays_g006768.t1	5282.0	3754	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	Z_mays_g023499.t1	5481.3	3536	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Duplicated	Z_mays_g003862.t1	3284.8	2148	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
255at33090	Duplicated	Z_mays_g016628.t1	3387.9	2144	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	Z_mays_g026929.t1	1677.8	1518	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	Z_mays_g020193.t1	1558.8	1086	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	Z_mays_g008615.t1	1776.0	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	Z_mays_g019245.t1	1345.6	1009	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	Z_mays_g005307.t1	2229.0	1677	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	Z_mays_g023156.t1	1519.0	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	Z_mays_g023760.t1	1395.4	1017	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	Z_mays_g011890.t1	1354.2	836	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	Z_mays_g011895.t1	1033.9	706	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	Z_mays_g017866.t1	1203.3	963	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	Z_mays_g022698.t1	825.1	612	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	Z_mays_g001103.t1	1293.2	777	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	Z_mays_g011614.t1	1346.9	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Duplicated	Z_mays_g003184.t1	1102.9	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
