# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_lycopersicum_g022599.t1	3000.0	2043	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_lycopersicum_g012586.t1	5468.8	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_lycopersicum_g015387.t1	5632.2	3522	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_lycopersicum_g020626.t1	3529.4	2190	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_lycopersicum_g003640.t1	1779.4	1454	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_lycopersicum_g004347.t1	1623.9	1088	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_lycopersicum_g036011.t1	1967.8	1491	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	S_lycopersicum_g019365.t1	1332.5	996	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Fragmented	S_lycopersicum_g017098.t1	1397.5	958	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_lycopersicum_g006929.t1	1591.9	1065	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_lycopersicum_g018863.t1	1434.5	1023	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_lycopersicum_g032545.t1	1424.8	874	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_lycopersicum_g007681.t1	1189.8	781	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_lycopersicum_g011103.t1	1174.4	954	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_lycopersicum_g016297.t1	853.9	684	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
