# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Duplicated	G_max_g040034.t1	4239.3	3440	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
2at33090	Duplicated	G_max_g015806.t1	3936.0	3222	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Duplicated	G_max_g024205.t1	5465.0	3747	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
5at33090	Duplicated	G_max_g049986.t1	5411.7	3747	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Duplicated	G_max_g020472.t1	5647.0	3571	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
24at33090	Duplicated	G_max_g047190.t1	5522.2	3550	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Duplicated	G_max_g007517.t1	3490.2	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
255at33090	Duplicated	G_max_g049818.t1	3488.6	2177	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Duplicated	G_max_g015996.t1	1786.7	1504	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
383at33090	Duplicated	G_max_g040210.t1	1763.7	1469	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Duplicated	G_max_g019862.t1	1598.5	1091	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1363at33090	Duplicated	G_max_g011537.t1	1551.6	1083	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1363at33090	Duplicated	G_max_g019268.t1	1540.6	1076	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	G_max_g004365.t1	1838.8	1396	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	G_max_g039994.t1	1333.8	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	G_max_g047671.t1	2239.4	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	G_max_g007059.t1	1635.4	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	G_max_g049357.t1	1597.2	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Duplicated	G_max_g043370.t1	1436.8	1025	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4034at33090	Duplicated	G_max_g010106.t1	1498.2	1024	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	G_max_g033632.t1	1410.5	875	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Duplicated	G_max_g028836.t1	1222.3	808	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5305at33090	Duplicated	G_max_g008884.t1	1211.1	802	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	G_max_g024231.t1	1137.4	897	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Duplicated	G_max_g026304.t1	828.9	680	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6512at33090	Duplicated	G_max_g051428.t1	877.3	630	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	G_max_g049597.t1	1405.5	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Duplicated	G_max_g038838.t1	1377.4	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
7366at33090	Duplicated	G_max_g021891.t1	1376.2	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
