# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	O_sativa_g005148.t1	4369.4	3518	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	O_sativa_g019305.t1	5354.5	3761	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	O_sativa_g028875.t1	5581.0	3527	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	O_sativa_g015749.t1	3422.6	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	O_sativa_g001723.t1	1720.0	1515	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	O_sativa_g012060.t1	1631.2	1102	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	O_sativa_g004189.t1	1746.8	1484	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	O_sativa_g011596.t1	1371.4	997	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	O_sativa_g027125.t1	2277.4	1675	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	O_sativa_g024906.t1	1535.5	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	O_sativa_g029480.t1	1404.5	1018	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	O_sativa_g004013.t1	1188.8	739	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	O_sativa_g004009.t1	1213.7	803	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	O_sativa_g005853.t1	1239.8	961	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	O_sativa_g020066.t1	852.4	637	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	O_sativa_g014449.t1	377.0	210	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	O_sativa_g009331.t1	1349.3	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	O_sativa_g005249.t1	1199.8	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	O_sativa_g013221.t1	1069.7	699	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	O_sativa_g013810.t1	1056.7	733	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	O_sativa_g024766.t1	827.5	785	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
