# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	O_sativa_g005433.t1	4369.4	3518	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	O_sativa_g020285.t1	5354.5	3761	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	O_sativa_g030456.t1	5581.0	3527	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	O_sativa_g016532.t1	3422.6	2179	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	O_sativa_g001797.t1	1720.0	1515	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	O_sativa_g012718.t1	1631.2	1102	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	O_sativa_g004328.t1	1746.8	1484	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	O_sativa_g012240.t1	1371.4	997	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	O_sativa_g028508.t1	2277.4	1675	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	O_sativa_g026163.t1	1535.5	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	O_sativa_g031102.t1	1404.5	1018	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	O_sativa_g004154.t1	1188.8	739	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	O_sativa_g004150.t1	1213.7	803	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	O_sativa_g006157.t1	1234.8	961	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	O_sativa_g021065.t1	852.4	637	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	O_sativa_g015133.t1	377.0	210	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	O_sativa_g009903.t1	1349.3	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
