# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	S_italica_g027529.t1	4303.4	3504	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	S_italica_g007785.t1	5326.4	3743	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	S_italica_g005027.t1	5559.3	3552	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	S_italica_g026479.t1	3401.3	2148	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	S_italica_g015640.t1	1726.5	1466	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	S_italica_g027446.t1	1633.8	1111	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	S_italica_g023530.t1	1819.8	1490	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	S_italica_g001896.t1	1374.2	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	S_italica_g018512.t1	2279.5	1685	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	S_italica_g004325.t1	1544.9	1106	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	S_italica_g005432.t1	1437.3	1010	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	S_italica_g017944.t1	1409.1	864	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	S_italica_g017941.t1	1209.9	804	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	S_italica_g028226.t1	1234.7	960	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	S_italica_g008870.t1	858.4	631	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	S_italica_g029246.t1	1368.8	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	S_italica_g010640.t1	1348.1	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_italica_g027430.t1	1194.7	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	S_italica_g030516.t1	1347.1	855	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	S_italica_g029877.t1	1055.4	708	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	S_italica_g004105.t1	825.7	762	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Fragmented	S_italica_g020480.t1	656.0	428	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	S_italica_g025847.t1	1085.7	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Missing
12439at33090	Complete	S_italica_g013069.t1	1206.9	729	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	S_italica_g014624.t1	926.2	554	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	S_italica_g013641.t1	1076.3	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Fragmented	S_italica_g029054.t1	593.0	409	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	S_italica_g022453.t1	1015.2	697	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	S_italica_g003839.t1	870.3	614	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	S_italica_g012335.t1	977.8	715	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	S_italica_g019099.t1	1081.3	672	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	S_italica_g011377.t1	1254.8	695	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	S_italica_g003104.t1	667.7	535	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	S_italica_g010430.t1	707.3	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	S_italica_g011364.t1	866.3	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	S_italica_g027508.t1	1003.7	628	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	S_italica_g002873.t1	542.2	442	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	S_italica_g009893.t1	827.4	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	S_italica_g012611.t1	918.4	701	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	S_italica_g029502.t1	953.5	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	S_italica_g029359.t1	758.1	519	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	S_italica_g017230.t1	937.6	646	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	S_italica_g013853.t1	795.1	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	S_italica_g009521.t1	847.7	532	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	S_italica_g003196.t1	866.7	590	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Fragmented	S_italica_g014642.t1	575.5	310	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	S_italica_g030545.t1	687.0	432	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
