# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	V_vinifera_g011439.t1	4528.1	3541	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	V_vinifera_g000416.t1	5652.4	3745	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	V_vinifera_g018322.t1	5763.9	3543	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	V_vinifera_g004519.t1	3506.7	2191	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	V_vinifera_g019631.t1	1917.9	1558	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	V_vinifera_g015747.t1	1541.2	1087	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	V_vinifera_g007373.t1	1957.7	1447	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	V_vinifera_g001292.t1	1386.0	1006	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	V_vinifera_g018912.t1	2291.4	1648	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	V_vinifera_g011141.t1	1583.4	1066	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	V_vinifera_g021424.t1	1435.7	988	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	V_vinifera_g016989.t1	1450.4	869	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	V_vinifera_g016994.t1	1269.6	817	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	V_vinifera_g025075.t1	1271.3	961	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	V_vinifera_g020786.t1	937.3	685	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	V_vinifera_g017490.t1	1409.4	808	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	V_vinifera_g005343.t1	1398.2	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	V_vinifera_g021769.t1	1222.4	816	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	V_vinifera_g019617.t1	1382.5	851	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	V_vinifera_g018770.t1	1081.8	725	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	V_vinifera_g011589.t1	908.7	778	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	V_vinifera_g016578.t1	1187.6	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	V_vinifera_g016828.t1	1103.5	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	V_vinifera_g010503.t1	1979.1	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	V_vinifera_g010555.t1	1240.2	728	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	V_vinifera_g012456.t1	1281.3	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	V_vinifera_g020320.t1	1110.3	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	V_vinifera_g007681.t1	1031.6	679	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	V_vinifera_g008229.t1	1069.1	701	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	V_vinifera_g003119.t1	917.9	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	V_vinifera_g020261.t1	1123.2	808	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	V_vinifera_g015476.t1	1134.9	668	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	V_vinifera_g019237.t1	1446.5	816	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	V_vinifera_g012893.t1	718.6	544	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	V_vinifera_g021943.t1	720.6	433	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	V_vinifera_g022194.t1	912.7	623	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	V_vinifera_g004526.t1	1104.9	674	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	V_vinifera_g011325.t1	574.8	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	V_vinifera_g008129.t1	878.2	632	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	V_vinifera_g021448.t1	983.1	677	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	V_vinifera_g007450.t1	968.1	709	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	V_vinifera_g010054.t1	774.5	510	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	V_vinifera_g010535.t1	974.7	624	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	V_vinifera_g004788.t1	759.1	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	V_vinifera_g010485.t1	886.0	532	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	V_vinifera_g014238.t1	911.1	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	V_vinifera_g000637.t1	967.6	510	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Duplicated	V_vinifera_g016956.t1	635.9	443	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32730at33090	Duplicated	V_vinifera_g016949.t1	661.4	442	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	V_vinifera_g013094.t1	1116.8	699	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	V_vinifera_g012421.t1	698.9	459	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	V_vinifera_g014768.t1	1024.3	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	V_vinifera_g021254.t1	916.2	524	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	V_vinifera_g018081.t1	776.2	513	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	V_vinifera_g015613.t1	1081.9	608	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	V_vinifera_g007501.t1	828.8	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	V_vinifera_g006004.t1	905.2	586	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	V_vinifera_g006914.t1	1080.3	546	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	V_vinifera_g023215.t1	829.2	569	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	V_vinifera_g006446.t1	831.3	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	V_vinifera_g024577.t1	760.9	436	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	V_vinifera_g001330.t1	960.2	643	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	V_vinifera_g010264.t1	754.8	506	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	V_vinifera_g011807.t1	1117.4	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	V_vinifera_g009613.t1	742.1	431	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
